town,avg_an_wage2001,avg_an_wage2002,avg_an_wage2003,avg_an_wage2004,avg_an_wage2005,avg_an_wage2006,avg_an_wage2007,avg_an_wage2008,avg_an_wage2009,avg_an_wage2010,unemp_rate2003,unemp_rate2004,unemp_rate2005,unemp_rate2006,unemp_rate2007,unemp_rate2008,unemp_rate2009,unemp_rate2010,unemp_rate2011,unemp_rate2012,mun_tax_rate2011,med_val_owner_occ2000,med_val_owner_occ20052009,med_val_owner_occ20072011,med_month_own_cost_percent_hh_income1999,med_month_own_cost_percent_hh_income20052009,med_month_own_cost_percent_hh_income20072011,owner_occ_homes20052009,owner_occ_homes20072011,med_gross_rent2000,med_gross_rent20052009,med_gross_rent20072011,med_gross_rent_perc_inc1999,med_gross_rent_perc_inc20052009,med_gross_rent_perc_inc20072011,avg_commute_2000,total_crime_per_1000,perc_pop_consid_pov2000,perc_und_18_2000,perc_over_65_2000,perc_in_diff_town_5yr_ago,percent_fem,Land_Sq_Miles,med_age2000,pop_dens2000,popn2000,perc_bach_2000,EDUCATION,INCOME,POVERTY,HOUSING,COMMUTE,CRIME,TAXES,EMPLOYMENT,,,,,,,,,,
Lincoln,23165,22955,20179,21731,21509,21879,23689,25545,27527,28777,2.3,2.4,3.4,6.8,6.9,7.4,6.4,6.2,4.5,5,0.6245,113000,222400,237500,21.5,22.9,22.7,401,390,544,839,879,21.6,28.1,27.8,30.46,35.42,5.93,27.1,10.79,27.27,48.2,43.99,39,27.6,1214,15.98,0.698414371,0.353751587,0.766021271,0.606013423,0.179607534,0.928856312,0.354026135,0.331848552,,,,,,,,,,
Londonderry,22792,23994,25567,25709,25634,27949,28768,29143,28867,28521,4.1,4.6,3.7,3.6,4.6,4,8,7.4,7.7,6.7,0.251,133800,223100,228500,20.6,25.4,24.2,619,605,583,900,914,24.8,28.2,22.5,21.13,65.54,6.32,21.88,16.56,30.6,47.98,35.67,41.5,47.92,1709,15.51,0.673655376,0.342823909,0.739432779,0.628955967,0.744685361,0.75942104,0.88110694,0,,,,,,,,,,
Lowell,12661,13885,14608,18345,19770,19014,19614,21624,21088,21213,7.6,8.2,7.4,7.5,10.8,10.5,13.6,14.3,9.5,7.4,0.5136,66400,113700,135800,18.2,21,24.4,276,301,508,609,645,46,32,14.4,34.49,42.01,17.34,29.4,10.98,28.18,48.53,56.01,35.4,13.18,738,5.56,0.149502186,0.030872827,0,0.79989266,0,0.891785314,0.510527504,0,,,,,,,,,,
Ludlow,21813,22744,23573,25934,24980,26006,27429,27562,27454,26781,5,4.3,4.1,4.1,4.6,5.1,8.2,8.1,8.9,6.9,0.2297,120600,243800,248900,18.9,26.3,21.9,860,651,520,671,684,26.4,29,29.7,17.62,147.82,7.39,20.99,18.66,32.87,48.77,35.27,43.2,69.44,2449,11.11,0.441869041,0.268549842,0.666484865,0.614818878,0.95727091,0.296567979,0.911165364,0,,,,,,,,,,
Lunenburg,31763,22994,24245,28542,34244,35000,29859,23783,19093,25420,3.6,3.6,2.8,3.2,6.1,6.1,7.7,7.4,6.3,5.3,0.7006,65100,115900,111300,18.9,22.5,26.7,467,483,461,631,684,21.2,33.3,33.5,24.56,73,12.78,26.62,14.52,28.82,49.17,45.08,37.3,29.17,1315,3.95,0.064689459,0.210453862,0.299018271,0.216845371,0.536945067,0.717455996,0.246634303,0.265033408,,,,,,,,,,
Lyndon,25401,26517,26845,28013,28371,29640,30706,32201,31938,32370,4.2,3.1,2.9,2.8,3.7,4.3,9.3,7.6,7.6,7.5,0.6506,85500,130900,146700,19,21.2,21.3,1328,1376,423,615,690,23.7,27.4,31.7,18.08,48.27,10.96,23.05,13.75,37.59,49.55,39.76,35.1,137.02,5448,10.92,0.431860085,0.507123267,0.4230979,0.608366656,0.929410696,0.85657068,0.317193983,0,,,,,,,,,,
Maidstone,,,,,,,,,,,2.1,2,2,3.8,5.8,4.1,19.6,13,6.3,3.2,0.2171,85000,189300,220000,39.2,15.7,19.5,56,68,425,,513,27.5,,,31.09,38.1,7.62,14.29,11.43,36.19,43.27,30.48,46.3,3.45,105,18.1,0.810093241,0,0.650804472,1,0.141451154,0.913780398,0.928946403,0.732739421,,,,,,,,,,
Manchester,26126,27508,27599,29487,31078,32597,36530,36326,36667,37365,4.3,3.5,3.5,3.6,3.6,4.4,7.1,6.7,5.8,5.4,0.171,175500,348100,341700,23.2,24.3,24.9,1397,1562,613,702,704,23,28.4,36,14.82,123.8,4.49,23.11,19.07,37.93,51.78,42.23,44,99.07,4184,18.81,0.847495127,0.720341063,0.864194164,0.276961912,1,0.431688671,0.994002427,0.242761693,,,,,,,,,,
Marlboro,20780,21977,26196,26259,26871,29888,30021,31492,33525,33680,2.7,1.9,2.2,2.5,2.7,2.8,3.3,3.6,3.2,3.2,0.3103,150000,257100,266100,18.7,22.7,26.1,296,302,536,686,1100,21.8,29.1,39.4,23.5,61.35,3.07,19.02,10.02,38.75,50.87,40.33,36.7,24.25,978,16.56,0.728968024,0.563042249,0.961003545,0.121837291,0.601144691,0.782991219,0.797423161,0.732739421,,,,,,,,,,
Marshfield,15236,21575,22466,25992,27345,27782,28703,28459,29317,30819,3.9,3.4,3.3,4,3.9,4.3,5.8,4.8,5.1,4.5,0.632,92100,179200,188000,17.1,19,21.2,598,630,546,688,678,29.2,27.8,48.5,27.03,62.17,9.02,27.94,8.96,28.54,47.01,43.11,37.9,34.7,1496,12.43,0.511404941,0.440916901,0.555358604,0.233388773,0.387347829,0.778378439,0.343442183,0.443207127,,,,,,,,,,
Mendon,21528,22682,24332,24561,26913,25578,26406,30120,27842,27625,26.9,21.6,12.6,3.6,4.4,5.8,6.6,5.6,4.7,5.2,0.4292,149500,258800,290900,19.4,21.4,23.4,370,348,704,1018,1033,19.8,24.8,30.5,19.91,83.66,4.67,23.25,13.72,29.86,47.38,38.09,41.5,26.99,1028,16.25,0.712637623,0.304577033,0.851922552,0.499250976,0.818575495,0.65748986,0.629632243,0.287305122,,,,,,,,,,
Middlebury,30198,30761,31438,33804,34396,35556,36517,37622,38946,37835,3.3,2.9,2.7,2.8,3.3,3.7,6.3,6.5,5.5,5,0.8124,120200,194800,219600,20.6,21.9,23.4,1698,1681,537,758,797,25,31.7,31.1,15.06,131.86,6.95,17.49,13.3,41.59,52.41,39.03,26.6,209.66,8183,11.28,0.450824422,0.740403598,0.696482138,0.485626998,1,0.386348422,0.08886286,0.331848552,,,,,,,,,,
Middlesex,32009,34441,35100,39649,37833,38628,42085,46047,42428,42603,10.1,7.5,7.1,7.4,6.6,7.3,5.2,4.5,3.3,3.3,0.41,116600,229800,239200,18.9,21.7,20.1,680,668,583,1336,950,19.6,30.4,23.8,23.66,38.17,6.19,26.55,6.82,30.54,49.33,39.66,38.6,43.6,1729,17.12,0.758468103,0.943931617,0.748295609,0.865671114,0.591454182,0.913386624,0.65672716,0.710467706,,,,,,,,,,
Middletown Springs,24602,23864,22715,25256,29327,30658,33668,26344,24623,25629,3.4,2.7,2.7,3.3,2.5,3.6,6.6,4.9,5.8,4.9,0.594,117600,201200,206100,20,21.3,22.7,299,257,644,646,650,28.4,29.6,38.1,30.58,30.38,11.91,24.91,12.27,28.55,52.25,22.84,40.6,36.03,823,13.97,0.592530159,0.219375287,0.358331061,0.372135131,0.172339652,0.957208031,0.39706754,0.354120267,,,,,,,,,,
Milton,30934,31937,35531,36408,35737,36441,38356,38322,40319,39454,5.1,4.3,4.1,4.1,4.3,4.8,7.7,6.5,5.7,5.2,0.3896,120500,222400,242200,21.6,23.4,24.4,3082,3184,656,1094,1024,25.7,33.1,32.9,25.32,134.09,5.1,28.71,5.81,30.34,47.63,51.46,34.5,184.19,9479,10.17,0.392351051,0.80951263,0.822607036,0.379819998,0.490915147,0.373803912,0.685515509,0.287305122,,,,,,,,,,
Monkton,23695,26369,22049,23100,24519,27684,28466,31281,30860,32704,2,1.8,1.8,1.8,1.9,2.1,2.3,2.2,2.2,2,0.4186,121300,240700,242400,21.2,22.8,23.9,643,705,688,1313,1091,24,33.9,35,30.72,32.4,3.64,28.54,6.14,27.8,46.64,36.02,37,48.83,1759,15.01,0.64731602,0.521380473,0.922143442,0.364603607,0.163860457,0.945844842,0.644590895,1,,,,,,,,,,
Montgomery,19092,19340,18322,19569,20881,21509,23109,26032,26665,26938,7.9,5.8,5.4,5.2,6.2,7.1,9.1,8.8,7.8,4.9,0.4041,90000,198500,198700,19.5,21.4,22.2,396,325,490,850,894,26.7,39.6,41,33.31,104.84,14.21,23.59,13.51,36.9,47.58,56.75,41.8,17.48,992,10.08,0.387609967,0.275251582,0.201527134,0.338753435,0.006995336,0.538345137,0.665053202,0.354120267,,,,,,,,,,
Montpelier,33459,34470,36368,37618,38817,40052,42212,45091,45265,46566,3,2.5,2.4,2.4,2.7,3.2,6,5.5,5,4.5,1.0074,108000,197800,202500,20.3,20.6,22.6,2085,2161,514,763,815,26.1,29.5,25.7,19.19,180.21,9.55,21.28,14.93,31.15,54.9,10.25,40.5,783.99,8035,19.54,0.885950587,1,0.519225525,0.660190854,0.862182787,0.114363183,0,0.443207127,,,,,,,,,,
Moretown,33057,33775,35065,36817,41535,44717,44410,44215,50934,54667,1.8,1.7,2.2,2.6,2.9,2.8,4.7,4.1,4.2,3.6,0.3176,120900,216600,264200,19.5,19.9,20,497,514,555,706,820,25.2,21.3,28.5,25.82,36.9,6.59,26.62,9.44,31.88,48.85,40.08,38.2,41.24,1653,14.52,0.62150345,1,0.721025361,0.765443458,0.460632306,0.920530807,0.787121447,0.643652561,,,,,,,,,,
Morgan,14062,17704,22541,27506,27735,24887,27037,26488,28683,29628,4.3,3.2,3.2,3.3,4.2,5.4,6.7,8,6.4,4,0.1705,88300,140200,177000,18.1,19.7,19.5,146,209,575,,1036,31.3,23.6,21,25.07,37.37,15.4,29.45,11.21,44.1,44.9,31.26,38.2,21.4,669,9.87,0.376547437,0.390077582,0.120398146,0.968210718,0.506056568,0.917886897,0.994708024,0.554565702,,,,,,,,,,
Morristown,25310,26238,27655,29137,29070,29875,31143,33168,34007,34571,5.2,3.9,3.6,4.1,4.9,5.1,7.8,7.3,6.4,5.9,0.6677,109500,217600,238600,20.1,26.7,23.1,1394,1383,493,879,931,25.9,28.9,28.7,22.13,127.65,10.02,24.17,15.29,34.93,49.22,51.35,39,100.07,5139,12.1,0.494020966,0.601075693,0.487182983,0.55960343,0.684119678,0.410031108,0.293062572,0.131403118,,,,,,,,,,
Mount Holly,25386,24788,25540,26995,27396,35619,32072,36816,32424,32292,4.6,4.3,3.2,3.5,3.6,4.3,7.1,6.1,6.2,5.7,0.295,105600,171800,172700,21.3,26.5,24.1,506,413,629,723,911,21.7,18.5,21.3,24.11,42.71,9.67,26.27,11.85,23.05,49.63,49.19,39.1,25.23,1241,13.54,0.569878312,0.50379374,0.511044451,0.66269743,0.564199624,0.887847576,0.819014422,0.175946548,,,,,,,,,,
Mount Tabor,17039,17229,18778,18570,18354,18802,20751,21396,20946,19761,1.9,1.9,7.1,11.6,10.1,14.6,13.8,8.9,3.7,3.8,0.05,90000,190600,185400,19.5,24.7,21.8,77,63,513,759,875,43,39.2,50,22.39,103.45,10.84,21.67,14.29,33.5,50.25,43.73,40.1,4.64,203,14.29,0.609387347,0,0.431278975,0.160367788,0.6683726,0.546164361,1,0.599109131,,,,,,,,,,
New Haven,19909,21970,22976,24441,27041,28492,30666,32727,32421,34359,3.6,3,3.1,3.1,3.3,3.8,6.4,5.9,5.3,4.4,0.5043,128500,233800,265400,21.9,24.1,26.3,536,569,583,781,970,22,26.3,30.8,22.1,45.62,5.1,27.01,9.48,30.43,46.55,41.65,37.7,40,1666,11.46,0.46030659,0.592026209,0.822607036,0.304127299,0.685936648,0.871477833,0.523651605,0.465478842,,,,,,,,,,
Newark,16998,18246,22932,20348,22231,22379,22721,22746,24284,22948,10.7,7.6,5.1,2,3.2,3.9,3.3,2.5,3,0,0.4661,78400,161000,167300,22.1,21.4,19.9,160,186,445,650,717,21.9,20,,32.27,78.72,17.45,27.02,11.49,30,52.38,36.78,38.9,12.78,470,12.34,0.506663857,0.104933463,0,1,0.069983647,0.685279045,0.5775592,1,,,,,,,,,,
Newbury,22015,22762,22820,24534,26331,27964,29636,30736,31445,31144,3.9,3,2.9,3.5,3.6,4.5,7.8,7.4,6.4,5.1,0.5,97900,177500,180700,19.2,24.2,22.9,738,830,435,608,737,23.5,25.4,27.9,25.31,79.9,12.77,24.12,17.15,27.07,50.12,64.18,42,30.62,1965,11.09,0.440815466,0.45478993,0.299700027,0.590755747,0.491520804,0.678641143,0.529719737,0.309576837,,,,,,,,,,
Newfane,21387,24768,24512,24812,25049,28163,27942,28334,28380,27052,2.6,2.7,3,3.8,3.7,4.3,5.7,5.7,4.8,4.4,0.4118,123600,196900,207000,21.7,22.1,23,636,638,610,750,879,24.9,28.6,26.5,24.83,25,5.06,23.93,11.49,35.89,51.17,40.24,42.1,41.75,1680,16.55,0.728441237,0.280117814,0.825334061,0.616051523,0.520592332,0.987472366,0.654187011,0.465478842,,,,,,,,,,
Newport City,25767,26046,28599,27508,28647,29572,31168,31879,32915,34228,10.2,7.7,7.6,7.6,8.9,9.3,14.1,12.6,13.6,12.5,1.209,79800,125900,139800,19.7,24.9,25.3,1181,1059,395,601,652,27.2,34.8,37.9,16.2,129.47,16.58,22.16,19.34,23.38,49.78,6.03,39.9,829.98,5005,8.01,0.278565032,0.586434311,0.039950914,0.207845288,1,0.399792987,0,0,,,,,,,,,,
Newport Town,20365,20706,21117,23925,25538,25269,26027,27847,28637,27514,2.7,2.1,3.3,4.5,4.4,5,5.9,5.7,5.1,5.8,0.3488,88600,163000,163500,20.4,23.3,26,484,538,533,745,911,22.5,32.8,46.3,23.1,34.41,12.64,26.47,11.45,27.4,45.48,41.71,38.6,36.23,1511,6.62,0.205341621,0.299838859,0.308562858,0,0.625370965,0.934537906,0.743092207,0.153674833,,,,,,,,,,
North Hero,21538,22496,22324,23714,22794,22823,25243,27768,29410,27768,5.3,3.9,5.4,5.1,5.2,4.8,6.8,6.3,6.2,5.6,0.2694,143900,252300,283300,15.2,22.5,23.6,409,392,775,983,1063,27.5,31.9,46.3,36.86,87.65,8.89,21.85,12.35,41.73,45.68,13.74,42.9,58.94,810,14.57,0.624137386,0.310681166,0.564221434,0.127499204,0,0.63504475,0.855140978,0.198218263,,,,,,,,,,
Northfield,25113,26472,27910,29727,30416,32005,33538,35518,37224,38596,5.1,4.5,3.8,3.6,4,4.3,7.2,6.8,6.3,5.3,1.0115,97400,165200,179500,21.8,21.6,22.1,1147,1328,547,817,818,24.3,32.7,32.8,21.09,88.59,5.23,19.44,11.64,37.87,44.95,43.7,29.7,132.51,5791,9.57,0.360743823,0.772887831,0.813744205,0.531441311,0.747107989,0.629756929,0,0.265033408,,,,,,,,,,
Norton,35434,40989,42438,40976,39774,45939,41757,41300,43977,45955,17.1,17.5,13.2,16.3,19,22.2,14,20.5,22.6,29,0.38,67700,152500,150000,17.2,15,20.8,84,78,500,,,22.5,,,23.06,42.06,5.61,24.3,18.22,12.15,49.32,39.05,43,5.48,214,1.87,0,1,0.787837469,1,0.627793592,0.891504047,0.699062967,0,,,,,,,,,,
Norwich,27478,28942,29244,31458,31302,31654,33449,35069,36979,38348,2.1,1.9,1.8,1.8,2.1,2.1,3.2,3.4,2.7,2.3,0.4588,253100,429600,423000,23.3,20.2,23.2,1037,1056,866,982,1104,27.9,28.9,21.4,19.71,34.71,3.75,29.26,10.98,35.19,50.45,44.69,40.9,79.31,3544,23,1,0.762301642,0.914644123,0.718868325,0.830688632,0.932850304,0.587860913,0.933184855,,,,,,,,,,
Orange,19039,21338,19869,18227,20507,21656,23333,23339,23908,24061,3,2.7,3,3.8,3.1,3.4,7.3,5.9,5.5,4,0.4164,93200,147000,153000,21.9,22.1,21.2,386,376,538,639,619,19.3,44.5,40.2,27.01,41.45,7.05,27.05,10.57,22.49,49.49,38.78,38.1,24.89,965,6.01,0.173207607,0.152443254,0.689664576,0.421853805,0.388559142,0.894935505,0.647695521,0.554565702,,,,,,,,,,
Orwell,25698,27158,27892,24082,26396,27326,29588,29150,28930,30103,3.9,3.2,2.8,2.9,3.5,3.5,6,6.5,4.6,4,0.5698,115800,196500,212500,20.2,22.4,24.5,354,391,594,448,517,26.8,18.8,21,23.93,30.38,10.3,27.26,11.9,26.41,48.99,47.38,38.9,25.01,1185,10.21,0.394458199,0.410353549,0.46809381,0.643535393,0.575101448,0.957208031,0.431218425,0.554565702,,,,,,,,,,
Panton,18452,19139,17896,20370,21209,21185,24066,23716,25004,25003,3.3,2.5,2,1.7,2.5,2.2,5.1,5.1,2.6,3.8,0.527,124700,243200,242400,18.9,21.1,22.7,167,177,613,1156,1289,20,27.9,33.1,25.27,33.72,7.92,25.22,13.64,23.31,49.21,15.47,41.3,44.09,682,15.1,0.652057104,0.192653697,0.630351786,0.485668283,0.493943432,0.938419392,0.49161751,0.599109131,,,,,,,,,,
Pawlet,22754,23076,24442,24556,25472,28268,29971,30916,31893,31148,3.1,2.5,2.8,2.8,3.1,3.9,7.6,6.7,6.5,5.2,0.36,117300,194700,240800,21.4,25.8,23,490,482,534,688,698,24.8,20.2,28.3,24.94,35.87,9.47,24.82,15.78,32.78,49.08,42.89,40.3,32.5,1394,10.4,0.404467155,0.454960675,0.524679575,0.575179589,0.513930107,0.926324908,0.727286839,0.287305122,,,,,,,,,,
Peacham,23034,23444,21068,19617,21426,21673,24057,29391,31248,26662,2.5,2.2,1.9,1.9,2.5,2.7,4.2,3.9,3.2,3.8,0.477,122700,212900,252400,23.3,26.4,22.9,323,259,675,831,619,30,27.7,30.6,22.75,39.1,6.62,27.67,15.34,33.38,50.61,46.74,43,14.23,665,20.6,0.941790023,0.263470178,0.718980093,0.529447846,0.646568954,0.908155057,0.562177189,0.599109131,,,,,,,,,,
Peru,18135,18138,19054,19925,19998,22008,24443,23869,24296,25093,3.6,3.3,2.9,3.2,4.6,3.6,5.2,6.8,6.2,5.1,0.1999,200000,259700,393200,13.2,23,26.3,93,117,667,942,1010,30,36.4,36.3,23.28,76.92,0.72,25.72,14.9,34.13,47.78,37.32,40.9,11.15,416,20.43,0.932834642,0.196495459,1,0.179240832,0.614469142,0.695404659,0.953218933,0.309576837,,,,,,,,,,
Pittsfield,27385,26953,32483,29581,31916,53249,57857,35778,63981,46882,7.1,5.5,5.5,6.7,7.7,8.1,21.3,19.2,12.2,9.1,0.45,128100,285000,235500,18.9,26.5,26.9,160,168,625,780,850,22.5,45,18.5,21.2,39.81,4.22,19.91,15.46,41.45,49.64,20.05,41.3,21.29,427,19.67,0.89279882,1,0.882601582,0.544457813,0.740445763,0.904161065,0.600279416,0,,,,,,,,,,
Pittsford,29765,31833,34151,35998,36791,38257,37484,42618,40945,40572,4.7,3.6,3.1,3.2,3.8,4.7,6,4.9,4.7,4,0.3793,102300,159800,177900,21,21.2,21.4,1084,1035,552,693,850,24.7,28.6,31.9,24.35,41.72,8.98,23.18,13.15,35.29,49.53,43.49,40.1,72.2,3140,10.57,0.413422536,0.857235852,0.558085629,0.597331823,0.54966386,0.893416663,0.700050803,0.554565702,,,,,,,,,,
Plainfield,23421,25107,25571,25373,24840,26208,32565,34995,33526,33519,5.5,4.5,3.8,5.1,5.2,5.5,8.1,7.9,6.8,6.2,0.6753,101700,205100,203000,21.4,22.4,23.6,331,381,528,745,638,33.1,24.5,23.8,21.47,68.43,9.95,23.72,10.11,36.16,48.6,21.01,35.9,61.21,1286,13.69,0.577780119,0.556169763,0.491955277,0.638398386,0.724093029,0.743163804,0.282337501,0.064587973,,,,,,,,,,
Plymouth,19334,23823,24529,21650,21737,24378,24132,25321,25095,26380,4.2,4.5,4.8,4.7,4.7,4.7,6.2,6.9,7,6.8,0.23,157500,301400,327600,19,27.3,27.2,185,222,875,,,33.8,50,,22.53,54.05,5.41,18.02,19.64,43.78,46.23,48.18,46.6,11.52,555,15.5,0.673128589,0.251432657,0.801472593,0.945049955,0.659893404,0.824056208,0.910742006,0,,,,,,,,,,
Pomfret,25176,24540,24706,26367,27862,30746,28412,29476,28236,26972,2,1.8,1.5,1.6,2,2.3,2.9,3.2,3.2,2.8,0.4215,193800,346200,370100,24.4,22.8,23.8,297,358,700,836,1058,20.8,19.4,30,21.8,14.3,4.8,26.76,14.3,27.58,51.83,39.4,42.4,24.85,979,19.2,0.868039825,0.276702914,0.843059722,0.484630265,0.704106353,1,0.640498434,0.821826281,,,,,,,,,,
Poultney,23688,24956,25953,27123,28379,28412,28463,30250,30520,30994,4.8,4.3,4.2,4.3,4.6,5.4,8.7,7.6,7.6,7,0.5243,85600,157000,163000,22.1,21.5,23.2,869,892,479,669,769,27,30.1,32.5,21.08,54.23,7.98,21.11,15.99,34.02,51.45,43.92,35.9,82.71,3633,9.19,0.340725913,0.448386994,0.626261249,0.466824728,0.747713645,0.823043647,0.495427733,0,,,,,,,,,,
Pownal,21497,23856,24563,27552,26374,26713,27003,28303,24649,25202,5,4.3,3.2,3.3,3.7,4.6,7.6,5.7,6.6,6.3,0.5844,91000,162400,169900,20.8,18.3,20.7,1010,1121,534,687,670,27.9,26.8,25.6,22.74,77.81,9.38,25.39,11.12,28.57,48.78,46.65,38.5,76.31,3560,7.72,0.263288205,0.20114826,0.53081538,0.78583814,0.647174611,0.690398105,0.410614998,0.042316258,,,,,,,,,,
Proctor,39878,40499,43085,44111,47473,50795,52552,49202,48744,46638,4,3.2,3.3,3.7,3.7,4.8,8.3,7,6.5,6.6,0.794,88900,148300,162300,19.9,23,23.3,584,605,564,672,731,26.9,30.9,33.2,22,57.54,9.11,26.16,16.57,35.59,54,7.56,38.8,248.16,1877,10.76,0.423431491,1,0.549222798,0.444436581,0.691993217,0.804423768,0.114828822,0,,,,,,,,,,
Putney,25191,27438,28296,28874,30478,31268,32350,34486,34124,34558,4.2,3.5,3.6,4.6,4.7,5.2,7.1,6.9,5.9,5.4,0.5675,117200,227000,235800,19.6,21.6,22,628,673,592,750,731,22.8,28.7,24.2,20.59,23.16,7.4,22.55,9.76,38.95,47.67,26.8,35.5,98.28,2634,13.63,0.574619396,0.600520772,0.665803109,0.733211838,0.77739083,0.997822993,0.43446417,0.242761693,,,,,,,,,,
Randolph,26776,27512,28805,29759,30487,31183,32479,34067,35204,36221,3.6,3,2.8,2.9,3.5,4,6.6,6.3,6,5.2,0.6595,97500,169300,177100,21.9,23.1,22.3,1283,1285,453,723,758,20.9,28.9,28.7,21.73,32.15,7.09,23.28,13.89,33.03,47.68,47.86,35.9,101.4,4853,9.79,0.37233314,0.671507998,0.686937551,0.611551482,0.708345951,0.947251177,0.30463436,0.287305122,,,,,,,,,,
Reading,17090,19594,19748,20659,22132,23923,24114,22798,22248,22984,4.8,3.5,3.1,3.2,3,3.3,5.1,4.8,3.9,3.4,0.319,127900,273700,270500,22.9,22.4,22.9,217,227,575,694,1567,27.5,30.7,33.5,33.52,41.02,7.92,24.05,14.85,31.12,51.66,41.5,41.2,17.04,707,14.57,0.624137386,0.106470168,0.630351786,0.463598618,0,0.897354402,0.785145776,0.688195991,,,,,,,,,,
Readsboro,19786,20399,21537,23097,20621,22216,23573,21257,25320,23270,4.2,3.7,3.3,3.8,5.4,5.3,8.6,6.2,5.8,4.8,0.873,78600,144700,170300,16.9,22.6,22.7,241,256,340,586,617,25.9,33.3,29.8,33.22,74.53,6.71,24.72,17.27,39.01,50.06,36.37,41.2,22.13,805,10.43,0.406047516,0.118678434,0.712844287,0.560600163,0.012446248,0.708849224,0.003344529,0.376391982,,,,,,,,,,
Richford,25241,25952,26988,28925,30754,31661,32727,34970,32896,33494,7.7,6.8,6.4,7,7.4,7.6,11.5,9.9,9.6,7.7,0.6657,59400,112000,128600,18.1,22.6,24.5,646,696,463,715,782,28.8,35.5,36,29.94,116.33,20.9,25.94,17.06,33.65,51.35,43.25,37.8,53.66,2321,2.54,0,0.555102607,0,0.302935938,0.21110169,0.473709969,0.295884959,0,,,,,,,,,,
Richmond,25695,27465,29495,29985,31754,33411,35344,35850,44296,43047,2.7,2.1,2.2,2.8,3,3.8,5.7,5.5,4.5,4,0.5647,132000,231400,240000,18.2,22.1,21.9,1426,1314,643,936,948,26.1,29.6,29.4,23.83,61.86,5.09,29.27,6.77,30.39,50.7,31.84,37.1,128.44,4090,20.61,0.94231681,0.96288431,0.823288792,0.621630867,0.581158016,0.780122295,0.438415512,0.554565702,,,,,,,,,,
Ripton,19180,19033,18482,19328,20568,23544,26581,26904,26958,30146,13.8,12,7.5,3.3,3.6,3.3,5.2,4.4,3.9,3.7,0.5905,113400,209400,238800,20.2,22.4,23.8,162,143,621,880,850,24.1,43.3,28.8,25.48,55.76,16.55,26.08,8.27,32.19,45.87,49.52,38.5,11.23,556,20.86,0.955486488,0.412189057,0.041996182,0.511878222,0.481224638,0.814436875,0.402006717,0.621380846,,,,,,,,,,
Rochester,27539,27349,26222,26683,29207,31385,31058,32652,31717,33027,5,4.7,4.3,3.4,5.3,5,8.3,6.9,6.4,4.7,0.6295,98200,152300,181300,18.4,20.2,19.1,330,311,550,645,659,26.9,50,31.8,22.78,66.61,5.98,22.12,17.85,30.57,51.49,56.17,42.7,20.85,1171,16.74,0.738450192,0.53516813,0.76261249,0.748953136,0.644751984,0.753401925,0.346970167,0.398663697,,,,,,,,,,
Rockingham,25881,26419,27520,30925,31613,32961,34471,35972,35932,37111,4.9,3.8,3.4,3.9,3.9,4.9,7.8,6.8,6.1,5.4,0.73,89800,160200,160500,23,22.1,25.2,1343,1440,488,700,744,24.1,28.6,34.8,18.19,1.88,9.93,25.13,15.45,25.5,52.31,41.9,39.2,126.72,5309,9.93,0.37970816,0.709498757,0.493318789,0.284729349,0.922748471,1,0.205145212,0.242761693,,,,,,,,,,
Roxbury,17466,18128,19524,22095,24845,26779,28706,29814,26909,25919,6.2,6,4.4,5.5,4.9,7.4,8.1,9.9,6,6.3,0.6273,87500,144400,151900,19.6,24.1,27.6,219,189,625,1042,1138,40,18.9,22.8,28.48,45.14,9.03,23.96,9.38,23.61,50.09,41.79,40.2,13.78,576,10.24,0.396038561,0.231754298,0.554676848,0.401364757,0.299527588,0.874177997,0.350074793,0.042316258,,,,,,,,,,
Royalton,31299,32565,33299,33991,35405,37369,38629,40901,42291,41678,2.8,3.1,2.5,2.5,3.4,3.2,5.7,5.6,5.1,4,0.5921,98700,143300,165600,17.1,22.1,23.3,816,853,519,763,818,33.1,50,35.7,25.93,73.38,14.87,22.28,10.83,41.26,49.73,40.43,34.2,64.39,2603,17.98,0.803771796,0.90444684,0.156531224,0.387670005,0.453970081,0.715318366,0.399748808,0.554565702,,,,,,,,,,
Rupert,20812,22379,21937,22855,21740,24432,23261,29176,30046,34854,3.8,3.3,3.8,3.2,3.8,4.6,6.1,5.7,3.6,3.4,0.3076,127700,255800,269200,24,24.1,25.1,419,338,625,917,1051,28.8,19.2,36.3,29.93,28.41,5.82,22.3,22.3,29.26,51.53,44.6,43.6,15.79,704,11.51,0.462940526,0.613155901,0.773520589,0.25716291,0.211707347,0.968289953,0.801233383,0.688195991,,,,,,,,,,
Rutland City,30097,31094,32311,34121,34676,35536,36320,39665,40030,40674,3.8,3.2,3.6,4.5,5,6.1,9.8,8.8,7.3,7,1.3095,89100,149900,160500,20.1,23.3,24.8,3967,3847,501,666,750,28.8,28.5,29,15.1,218.08,14.75,22.66,18.18,23.39,53.26,7.64,39.3,"2,264.01",17292,10.4,0.404467155,0.861589849,0.164712299,0.442401831,1,0,0,0,,,,,,,,,,
