town,avg_an_wage2001,avg_an_wage2002,avg_an_wage2003,avg_an_wage2004,avg_an_wage2005,avg_an_wage2006,avg_an_wage2007,avg_an_wage2008,avg_an_wage2009,avg_an_wage2010,unemp_rate2003,unemp_rate2004,unemp_rate2005,unemp_rate2006,unemp_rate2007,unemp_rate2008,unemp_rate2009,unemp_rate2010,unemp_rate2011,unemp_rate2012,mun_tax_rate2011,med_val_owner_occ2000,med_val_owner_occ20052009,med_val_owner_occ20072011,med_month_own_cost_percent_hh_income1999,med_month_own_cost_percent_hh_income20052009,med_month_own_cost_percent_hh_income20072011,owner_occ_homes20052009,owner_occ_homes20072011,med_gross_rent2000,med_gross_rent20052009,med_gross_rent20072011,med_gross_rent_perc_inc1999,med_gross_rent_perc_inc20052009,med_gross_rent_perc_inc20072011,avg_commute_2000,total_crime_per_1000,perc_pop_consid_pov2000,perc_und_18_2000,perc_over_65_2000,perc_in_diff_town_5yr_ago,percent_fem,Land_Sq_Miles,med_age2000,pop_dens2000,popn2000,perc_bach_2000,EDUCATION,INCOME,POVERTY,HOUSING,COMMUTE,CRIME,TAXES,EMPLOYMENT,,,,,,,,,,
Bloomfield,,,,,,,,,,,4.3,3.3,3.9,1.6,1.7,2.2,6.7,6.5,5.3,4.5,0.3399,70600,113400,134400,13.8,19.4,22.5,85,85,467,,,23.3,50,,19.33,11.49,4.98,27.2,14.94,32.18,45.25,40.42,38.7,6.46,261,4.6,0.098930622,0,0.83078811,1,0.853703592,1,0.75565183,0.443207127,,,,,,,,,,
Bolton,16640,17534,18857,19959,26846,30025,32055,27332,23774,24319,8.5,6.8,3.9,2.4,2.4,2.7,3.2,2.9,2,2,0.52,101200,206200,201500,19.6,23,22.9,401,399,850,742,1073,27.5,36.9,27.5,28.57,60.76,5.25,28.94,5.97,41.61,48.88,42.48,34.9,22.86,971,18.85,0.849602276,0.163456305,0.812380693,0.5998384,0.294076676,0.78631017,0.501495865,1,,,,,,,,,,
Bradford,24283,25565,26196,26563,29104,30231,31931,32928,32867,33175,3.9,3.9,3.7,3.6,3.8,4.4,8,7.6,5.9,5.7,0.6288,96000,173900,181200,21.1,22.7,21.3,831,902,523,719,696,26.9,30.8,38.5,23.63,80.57,11,26.16,15.62,31,50.65,29.81,40,87.84,2619,8.17,0.286993626,0.541485695,0.420370875,0.45396157,0.593271153,0.674872164,0.347958003,0.175946548,,,,,,,,,,
Braintree,20187,21051,23128,23075,24348,24610,25711,26047,27122,29994,9.6,8.3,6.4,7.3,7.1,9,8.2,7.4,5.5,5.2,0.9337,85700,141000,142200,18.5,22.8,22.4,454,490,535,458,766,21.9,31.1,27.5,25.53,45.23,6.45,25.29,12.56,31.66,48.38,38.28,40,31.19,1194,8.96,0.328609809,0.405700748,0.730569948,0.632305932,0.478196354,0.873671716,0,0.287305122,,,,,,,,,,
Brandon,24441,24569,25855,27020,27488,28383,30805,32357,30123,30006,5.9,5.1,3.5,3.1,3.8,4.6,9,7,6.8,6.5,0.6426,87700,152500,161600,21.3,22.7,23.1,1143,1384,510,621,678,31.6,27.2,32.2,24.8,83.99,11.16,24.71,13.68,30.74,52.01,40.13,39.3,97.61,3917,11.26,0.449770848,0.406212983,0.409462776,0.480130224,0.522409303,0.655633498,0.328483531,0,,,,,,,,,,
Brattleboro,31889,34170,35462,34335,34189,35013,35313,36602,36621,37444,4.8,3.8,3.3,2.9,3.4,3.7,6.8,6.1,5.2,5.2,1.0941,106000,188500,203500,18.8,24.1,25.9,2880,3122,546,665,723,27.4,29.4,27.5,17.07,203.67,12.68,22.28,16.63,31.28,54.38,31.99,40.2,375.28,12005,14.34,0.612021282,0.723713276,0.305835833,0.405033205,0.990582036,0,0,0.287305122,,,,,,,,,,
Bridgewater,23194,25183,25866,25504,27223,30158,29868,30753,31792,30441,5.1,4.3,4.3,3.3,4,4.4,6.9,8.6,8.5,5.9,0.3549,108000,248700,237500,19.1,24.1,21.8,189,207,528,785,795,24.8,28.7,29.5,21.18,45.92,7.86,23.06,13.27,33.98,49.9,49.55,41,19.78,980,12.24,0.501395986,0.4247815,0.634442323,0.62585371,0.741657077,0.869790231,0.734483927,0.131403118,,,,,,,,,,
Bridport,22859,23837,22844,25203,27068,26748,28281,27506,27669,29405,3.9,3.5,3.8,3.9,4.1,5.2,6.9,6.8,5.5,5.8,0.4598,114100,217200,233200,22.4,22.8,22.7,413,429,588,1016,934,21.8,25.7,15.3,21.8,30.77,6.88,26.88,12.71,30.28,47.23,43.98,36.5,28.08,1235,11.26,0.449770848,0.38055855,0.701254431,0.889846303,0.704106353,0.955014148,0.586449719,0.153674833,,,,,,,,,,
Brighton,18275,21219,20878,21290,21270,21306,22053,22852,24666,23864,6.3,4.9,5.3,4.2,5.7,6.8,9.7,9.6,9.7,8.6,0.5329,64600,122900,128500,18.8,19.3,22.3,343,351,373,377,425,27.5,30.6,35.5,18.73,27.78,19.13,25,18.17,21.19,49.62,52.19,40.9,24.14,1260,4.44,0.090502028,0.144034064,0,0.457146396,0.890043002,0.971833917,0.483291468,0,,,,,,,,,,
Bristol,23722,25495,24878,25318,25657,26969,27933,31237,32135,33742,5.8,4.9,3.9,2.7,3.8,4.3,8.8,7.5,6.6,6.8,0.5625,109000,203400,217400,21,21.4,22.1,1057,1183,545,795,802,21.9,29.7,28.9,26.47,131.2,10.24,27.72,10.9,37.99,50.5,41.77,37.1,90.68,3788,8.47,0.30279724,0.565688796,0.472184347,0.619997169,0.421264611,0.390061147,0.441520138,0,,,,,,,,,,
Brookfield,27311,27777,28122,28412,27509,32360,30612,31358,33597,32828,3.8,3.3,3.2,3.3,3.5,4.2,5.9,5.3,5.5,3.9,0.4104,115900,199500,209800,22.2,19.5,20.2,380,387,625,871,955,20.8,13.9,17.5,26.43,32.73,6.06,25.12,11.37,26.51,48.41,41.4,40.5,29.52,1222,10.72,0.421324343,0.526673568,0.75715844,1,0.423687239,0.943988479,0.656162682,0.576837416,,,,,,,,,,
Brookline,13143,11371,11769,14511,16377,16814,18170,17489,17767,16673,5.6,4.9,3.8,2.7,2.7,2.7,5.3,5.2,3.7,3.9,0.3028,105600,172700,192400,22.5,25.7,25.8,173,196,617,1153,1175,17.5,45,47.9,25.32,29.98,8.78,27.19,10.71,30.62,50.86,12.91,39,36.18,467,8.99,0.33019017,0,0.571720753,0,0.490915147,0.959458167,0.808007112,0.576837416,,,,,,,,,,
Brownington,14289,16448,18007,18791,19180,18542,19061,20185,23007,20536,9.1,8.1,7,3.4,4.3,5.6,9.3,8.6,7.1,6.7,0.5755,68600,118400,138700,17.8,21.3,20.4,323,291,419,950,1077,36.5,33.1,34,25.06,62.15,17.18,27.23,10.06,27.23,48.07,28.28,37.7,31.29,885,3.84,0.058894801,0.001974239,0,0.614582965,0.506662225,0.778490946,0.423174621,0,,,,,,,,,,
Brunswick,,,,,,,,,,,1.9,1.9,1.9,1.8,1.9,3.8,7.5,7.4,13.1,11.5,0.27,71900,161500,164800,13.5,18.1,22.3,45,59,425,2001,,27.5,50,,22.22,9.35,29.91,29.91,9.35,22.43,49.53,25.69,39.5,4.16,107,3.74,0.053626929,0,0,1,0.678668766,1,0.854294262,0,,,,,,,,,,
Buels Gore,,,,,,,,,,,,,,0,0,0,0,,NULL,NULL,0,92500,,187500,9.9,,14.3,3,12,,,,,,,52.5,250,0,8.33,25,0,33.33,5.05,49,2.38,12,0,0,0,1,1,0,0,1,0,,,,,,,,,,
