town,perc_pop_consid_pov2000,perc_und_18_2000,perc_over_65_2000,perc_in_diff_town_5yr_ago,percent_fem,Land_Sq_Miles,med_age2000,pop_dens2000,2000_population,perc_bach_2000,avg_commute_2000,total_crime_per_1000,avg_wage2000,avg_wage2001,avg_wage2002,avg_wage2003,avg_wage2004,avg_wage2005,avg_wage2006,avg_wage2007,avg_wage2008,avg_wage2009,avg_wage2010,unemployment_rate2002,unemployment_rate2003,unemployment_rate2004,unemployment_rate2005,unemployment_rate2006,unemployment_rate2007,unemployment_rate2008,unemployment_rate2009,unemployment_rate2010,unemployment_rate2011,unemployment_rate2012,mun_tax_rate2011,med_val_owner_occ2000,med_val_owner_occ20052009,med_val_owner_occ20072011,med_month_own_cost_percent_hh_income1999,med_month_own_cost_percent_hh_income20052009,med_month_own_cost_percent_hh_income20072011,owner_occ_homes20052009,owner_occ_homes20072011,med_gross_rent1980,med_gross_rent1990,med_gross_rent2000,med_gross_rent20052009,med_gross_rent20072011,med_gross_rent_perc_inc1989,med_gross_rent_perc_inc1999,med_gross_rent_perc_inc20052009,med_gross_rent_perc_inc20072011
BROWNINGTON,17.18,27.23,10.06,27.23,48.07,28.28,37.7,31.29,885,3.84,25.06,62.15,24017,25113,26472,27910,29727,30416,32005,33538,35518,37224,38596,4.3,5.1,4.5,3.8,3.6,4,4.3,7.2,6.8,6.3,5.3,0.5755,68600,118400,138700,17.8,21.3,20.4,323,291,215,271,419,950,1077,16.2,36.5,33.1,34
BRUNSWICK,29.91,29.91,9.35,22.43,49.53,25.69,39.5,4.16,107,3.74,22.22,9.35,,,,,,,,,,,,66.7,0,66.7,,0,0,0,0,,NULL,NULL,0.27,71900,161500,164800,13.5,18.1,22.3,45,59,195,,425,2001,,,27.5,50,
BUELS GORE,0,8.33,25,0,33.33,5.05,49,2.38,12,0,52.5,250,24968,26479,27455,29556,31843,32672,32981,33548,34460,32731,34492,5.2,5.6,4.2,4.2,4.1,4.1,5,7.8,7.1,6.8,6,0,92500,,187500,9.9,,14.3,3,12,,,,,,,,,
BURKE,13.88,23.62,11.39,41.06,46.51,34.05,39.1,46.14,1571,15.09,24.02,68.11,27056,27941,29631,27334,30056,31493,31258,31932,33991,29002,34766,2.1,4.1,2.9,2.6,3.2,3.7,3.3,5.8,8.9,6.9,6.6,0.34,88500,167800,191000,21.9,21.3,19.3,471,553,211,407,448,586,716,25.2,25.4,26.9,28.7
BURLINGTON,17.64,15.9,10.28,38.17,51.41,10.56,29.2,"3,770.56",39824,18.04,16.82,206.66,26188,29564,27135,28734,30846,31806,33161,35953,34557,35746,39724,2.9,3.3,3.1,2.8,3,2.9,3.7,5.5,6,5.3,4.5,0.72,127600,249900,258600,19.5,25.7,25.1,6088,6965,243,493,618,893,965,30.1,29.4,36.4,36.7
CABOT,7.42,28.36,9.98,35.28,48.72,37.29,37.9,32.53,1213,12.94,27.5,74.2,18959,27248,24842,19763,22579,22678,25285,27482,29801,30083,29328,15.5,17.6,13.6,9.1,3.5,2.7,4.3,6.9,5.9,4.9,4.6,0.4806,97200,183600,177500,19.2,24.4,26,518,527,213,346,663,639,950,22.7,41.9,28.5,20
CALAIS,6.47,25.83,10.14,28.91,49.94,38.02,41,40.22,1529,15.37,26.52,39.9,24310,25232,26565,27741,28690,30528,32375,34430,35812,37114,37733,6,6.1,4.9,4,3.1,3.5,4.4,8.7,7.4,6.9,6.4,0.4906,121300,203700,246900,20.5,23.1,24.4,540,587,207,498,568,856,871,24.7,21.3,20.5,25
CAMBRIDGE,5.15,24.39,8.6,35.47,49.48,63.66,35.9,50.04,3186,15.94,32.17,106.09,22441,22792,23994,25567,25709,25634,27949,28768,29143,28867,28521,4,4.1,4.6,3.7,3.6,4.6,4,8,7.4,7.7,6.7,0.32,123600,223500,233600,20.8,22.1,22.3,971,1101,242,461,603,880,888,25.4,24.4,25.9,24.9
CANAAN,14.47,26.9,13.82,27.64,48.69,33.2,38.8,32.47,1078,5.75,14.71,37.11,16005,18024,18417,19485,20579,21912,21083,21622,22466,21561,22240,5.9,6.5,5.9,5.2,5.3,6.7,6.8,9.3,8.8,7.5,6.6,0.682,79100,108700,109500,18.4,20.6,22.7,352,362,182,317,393,540,615,23.3,25.7,50,
CASTLETON,8.63,19.88,10.92,37.87,50.54,39.02,33.2,111.91,4367,8.84,22.43,67.55,16069,17090,19594,19748,20659,22132,23923,24114,22798,22248,22984,3.6,4.8,3.5,3.1,3.2,3,3.3,5.1,4.8,3.9,3.4,0.3588,98200,170900,194800,19.4,23.8,21.7,1178,1254,225,422,532,747,820,29.6,23.4,30.8,35.9
CAVENDISH,6.05,20.68,17.89,32.65,51.07,39.64,42.3,37.08,1470,7.96,26.08,72.11,14766,14011,14154,16489,14773,14212,10226,12830,13201,14365,16165,3.5,4,2.3,6.6,13.9,13.6,13.8,4.5,2.9,2.5,2,0.3277,91900,188100,181500,19.6,21,21.5,381,441,246,498,513,742,747,25,22.2,32.5,27.9
CHARLESTON,20.11,24.36,11.73,35.31,49.94,37.48,40.7,23.88,895,6.26,22.17,59.22,31269,35434,40989,42438,40976,39774,45939,41757,41300,43977,45955,16.7,17.1,17.5,13.2,16.3,19,22.2,14,20.5,22.6,29,0.5123,79000,138900,147400,20.8,20.8,20.7,260,233,215,392,438,771,763,35.1,20,28.8,32.5
CHARLOTTE,4.88,29.67,7.71,32.78,49.77,41.48,39.2,86.05,3569,21.88,25.05,25.5,18430,18978,18690,20295,20759,21208,22520,23616,22258,21063,22196,3.8,4.3,5.6,5.5,6.4,7,7.2,9.1,8.6,11.7,9.6,0.182,263100,424600,477300,20.5,23,24,1244,1206,277,566,666,1566,1144,21.7,29.3,33.2,36.1
CHELSEA,15.08,25.32,19.6,29.27,49.48,39.92,41.6,31.06,1240,11.69,26.23,102.42,24312,24602,23864,22715,25256,29327,30658,33668,26344,24623,25629,3.4,3.4,2.7,2.7,3.3,2.5,3.6,6.6,4.9,5.8,4.9,0.4755,94800,168500,175800,19.3,22.7,22.8,410,472,213,303,435,593,691,24.6,29.2,28.3,26
CHESTER,7,24.01,16.13,29.89,50.73,55.89,41.9,54.47,3044,10.68,21.37,75.89,18375,18166,19053,18756,20008,21461,25893,23253,24638,21935,19889,2.6,2.9,3.1,2.9,3.3,3.1,3.4,6.4,5.2,6.1,3,0.6079,106800,171800,188000,19.6,26.5,24.4,1078,1031,224,390,512,775,804,26.9,26,31.4,28.8
CHITTENDEN,6.18,26.31,8.38,27.58,49.38,73.01,39.6,16.19,1182,15.4,22.72,28.76,17906,19786,20399,21537,23097,20621,22216,23573,21257,25320,23270,4.5,4.2,3.7,3.3,3.8,5.4,5.3,8.6,6.2,5.8,4.8,0.3903,128900,218900,239700,19.4,19.5,19.3,393,406,240,519,613,1030,1024,17.7,25.3,27,27
CLARENDON,7.65,23.09,10.35,25.93,49.22,31.55,41.5,89.08,2811,10.6,18.19,61.54,24660,25241,25952,26988,28925,30754,31661,32727,34970,32896,33494,6.4,7.7,6.8,6.4,7,7.4,7.6,11.5,9.9,9.6,7.7,0.431,96500,145400,168100,20.1,20.1,19.6,921,827,236,482,526,811,845,19.2,23.2,24,24.6
COLCHESTER,5.7,22.57,6.43,44.93,50.47,36.88,32.6,460.52,16986,14.54,19.72,115.92,27463,28965,29326,31603,32227,33063,33315,33989,36101,36462,36892,1.8,2.4,1.7,1.6,1.9,1.9,2.1,3.9,3.8,3.5,3.4,0.7387,131300,223500,237300,20.6,23.3,21.7,4768,4579,290,550,691,937,989,23.7,24,31.1,31.9
CONCORD,11.08,26.05,12.16,35.57,49.79,51.44,37,23.5,1209,4.63,24.97,75.27,11471,15090,17235,16840,14855,22052,21929,23010,21404,19410,18386,2.6,2.6,2.6,2.6,1.7,2.6,3.5,6.1,5.4,2.4,2.6,0.479,71900,115400,132700,18.3,21.5,21.6,490,458,208,311,538,825,729,15,28.8,24.1,46.2
CORINTH,10.68,28.13,12.53,26.63,49.26,48.54,38.1,30.1,1461,8.76,30.94,64.34,30324,30934,31937,35531,36408,35737,36441,38356,38322,40319,39454,4.3,5.1,4.3,4.1,4.1,4.3,4.8,7.7,6.5,5.7,5.2,0.5952,90100,168200,168800,19.4,22.8,24.8,491,453,181,494,593,1103,1042,32.9,23.3,31,32.5
CORNWALL,5.72,25.62,12.76,31.87,47.15,28.63,40.8,39.68,1136,15.14,17.35,35.21,31415,27997,26020,26041,24833,26181,26618,25773,24236,26637,24573,13.4,15.3,12.9,12.4,13.3,10.4,7.3,6.9,8.5,5.7,4.4,0.3402,152000,248900,308300,19.7,22.9,22.7,357,366,279,447,675,981,911,19.6,27.5,25.8,28.3
COVENTRY,17.16,26.82,9.47,31.95,47.94,27.45,36.3,36.94,1014,5.23,17.49,59.17,26584,27478,28942,29244,31458,31302,31654,33449,35069,36979,38348,1.9,2.1,1.9,1.8,1.8,2.1,2.1,3.2,3.4,2.7,2.3,0,73700,159500,160400,19.1,18.3,21.5,357,394,180,394,438,850,763,26.6,23.3,45.9,45.5
CRAFTSBURY,12.59,20.95,19.63,31.07,51.65,39.28,41.4,28.92,1136,15.76,23.85,35.21,15886,19039,21338,19869,18227,20507,21656,23333,23339,23908,24061,3.2,3,2.7,3,3.8,3.1,3.4,7.3,5.9,5.5,4,0.56,89300,160600,162500,19.4,25.4,28.4,344,365,180,388,580,750,675,24.4,22.5,25,
DANBY,8.28,25.54,13.16,27.4,48.37,41.44,37,31.18,1292,8.82,25.88,59.6,23371,25695,27465,29495,29985,31754,33411,35344,35850,44296,43047,2.4,2.7,2.1,2.2,2.8,3,3.8,5.7,5.5,4.5,4,0.53,93200,211300,225000,18,19.7,22.3,397,418,221,470,528,639,825,28.8,25.8,24.4,21.5
DANVILLE,8.28,26.1,15.11,27.09,51.61,60.88,41.2,36.32,2211,11.49,24.7,35.73,22821,23980,25249,27208,28053,28024,29021,30593,31671,32987,34089,4,4.6,3.9,3.9,4.5,4.9,5.5,8.7,8.1,6.7,6.1,0.4447,99000,162000,166200,18.6,21.9,21.2,790,845,162,327,391,635,434,25,20.3,21,28.4
DERBY,10.23,27.19,15.1,32.32,48.13,49.63,38.9,92.76,4604,8.1,18.72,67.98,22897,25698,27158,27892,24082,26396,27326,29588,29150,28930,30103,3.3,3.9,3.2,2.8,2.9,3.5,3.5,6,6.5,4.6,4,0.326,86900,150400,166500,19.2,19.2,20.6,1596,1458,194,336,456,669,710,23.6,24.8,27.3,31.9
DORSET,5.4,21.91,19.55,30.7,49.93,47.82,45.1,42.58,2036,20.87,18.5,47.64,23734,24441,24569,25855,27020,27488,28383,30805,32357,30123,30006,4.7,5.9,5.1,3.5,3.1,3.8,4.6,9,7,6.8,6.5,0.1493,210300,473600,451400,19.4,25.3,25.5,824,748,254,539,713,941,866,25.3,24.3,29.5,40.3
DOVER,9.93,22.2,11.13,39.15,47.38,35.3,41.3,39.94,1410,21.63,22.44,288.65,31541,34436,35583,36645,39546,39529,41690,42740,44493,44389,46116,3.5,3.7,3.2,3.2,3.5,4.4,5.3,10.1,9.7,7.9,7.7,0.3063,143300,259800,275900,21.9,26,27.8,469,530,279,528,642,642,690,22.9,25.9,19.7,19.7
DUMMERSTON,2.4,23.13,13.89,30.76,49.28,30.58,42.4,62.61,1915,17.02,19.92,33.42,49565,58280,61684,57875,70212,68212,67477,75280,77230,76908,81919,3.6,4.1,3,3.2,3.7,4.3,4.1,5.7,5.7,6,4.4,0.2638,129700,226300,236500,19,18.7,23.1,612,675,225,404,578,703,850,22.9,23,25.8,26.6
