town,perc_pop_consid_pov2000,perc_und_18_2000,perc_over_65_2000,perc_in_diff_town_5yr_ago,percent_fem,Land_Sq_Miles,med_age2000,pop_dens2000,2000_population,perc_bach_2000,avg_commute_2000,total_crime_per_1000,avg_wage2000,avg_wage2001,avg_wage2002,avg_wage2003,avg_wage2004,avg_wage2005,avg_wage2006,avg_wage2007,avg_wage2008,avg_wage2009,avg_wage2010,unemployment_rate2002,unemployment_rate2003,unemployment_rate2004,unemployment_rate2005,unemployment_rate2006,unemployment_rate2007,unemployment_rate2008,unemployment_rate2009,unemployment_rate2010,unemployment_rate2011,unemployment_rate2012,mun_tax_rate2011,med_val_owner_occ2000,med_val_owner_occ20052009,med_val_owner_occ20072011,med_month_own_cost_percent_hh_income1999,med_month_own_cost_percent_hh_income20052009,med_month_own_cost_percent_hh_income20072011,owner_occ_homes20052009,owner_occ_homes20072011,med_gross_rent1980,med_gross_rent1990,med_gross_rent2000,med_gross_rent20052009,med_gross_rent20072011,med_gross_rent_perc_inc1989,med_gross_rent_perc_inc1999,med_gross_rent_perc_inc20052009,med_gross_rent_perc_inc20072011
NEW HAVEN,5.1,27.01,9.48,30.43,46.55,41.65,37.7,40,1666,11.46,22.1,45.62,25363,26795,28012,28960,30199,30843,32038,33900,35518,35914,37625,7.6,8.2,6.9,5.7,5.4,5.6,6.5,11.4,10.9,9.4,8.6,0.5043,128500,233800,265400,21.9,24.1,26.3,536,569,233,472,583,781,970,24.5,22,26.3,30.8
NEWARK,17.45,27.02,11.49,30,52.38,36.78,38.9,12.78,470,12.34,32.27,78.72,23852,25136,26628,27510,28232,28811,29240,31444,31713,33158,32556,3.4,3.6,2.9,3,2.6,3.6,3.8,8.4,8.5,7.5,7.1,0.4661,78400,161000,167300,22.1,21.4,19.9,160,186,181,413,445,650,717,35.1,21.9,20,
NEWBURY,12.77,24.12,17.15,27.07,50.12,64.18,42,30.62,1965,11.09,25.31,79.9,17447,19092,19340,18322,19569,20881,21509,23109,26032,26665,26938,6,7.9,5.8,5.4,5.2,6.2,7.1,9.1,8.8,7.8,4.9,0.5,97900,177500,180700,19.2,24.2,22.9,738,830,196,366,435,608,737,28.8,23.5,25.4,27.9
NEWFANE,5.06,23.93,11.49,35.89,51.17,40.24,42.1,41.75,1680,16.55,24.83,25,18177,18966,21579,20143,25784,29838,33550,35760,36070,35364,31836,3.9,4.1,4.2,4.3,4.7,5.7,6,8.3,6.6,5.5,5.2,0.4118,123600,196900,207000,21.7,22.1,23,636,638,235,570,610,750,879,32.5,24.9,28.6,26.5
NEWPORT CITY,16.58,22.16,19.34,23.38,49.78,6.03,39.9,829.98,5005,8.01,16.2,129.47,24618,19334,23823,24529,21650,21737,24378,24132,25321,25095,26380,5.3,4.2,4.5,4.8,4.7,4.7,4.7,6.2,6.9,7,6.8,1.209,79800,125900,139800,19.7,24.9,25.3,1181,1059,186,318,395,601,652,29.1,27.2,34.8,37.9
NEWPORT TOWN,12.64,26.47,11.45,27.4,45.48,41.71,38.6,36.23,1511,6.62,23.1,34.41,24480,25176,24540,24706,26367,27862,30746,28412,29476,28236,26972,1.7,2,1.8,1.5,1.6,2,2.3,2.9,3.2,3.2,2.8,0.3488,88600,163000,163500,20.4,23.3,26,484,538,225,414,533,745,911,24,22.5,32.8,46.3
NORTH HERO,8.89,21.85,12.35,41.73,45.68,13.74,42.9,58.94,810,14.57,36.86,87.65,,,,,,,,,,,,1.4,1.4,1.4,1.4,1.4,2.7,2.6,6.1,3.8,3.1,1.8,0.2694,143900,252300,283300,15.2,22.5,23.6,409,392,219,425,775,983,1063,14.3,27.5,31.9,46.3
NORTHFIELD,5.23,19.44,11.64,37.87,44.95,43.7,29.7,132.51,5791,9.57,21.09,88.59,24632,25292,27815,27655,28780,21411,25208,28231,28716,21527,28632,2.2,2.5,2.4,5.6,11.2,10.2,11,7.6,5.8,5,5,1.0115,97400,165200,179500,21.8,21.6,22.1,1147,1328,198,411,547,817,818,24.9,24.3,32.7,32.8
NORTON,5.61,24.3,18.22,12.15,49.32,39.05,43,5.48,214,1.87,23.06,42.06,15910,19167,16681,17282,16666,19924,22157,23087,23007,23400,24637,3.2,2.8,2.7,3.2,3.4,2.5,3.3,4.6,4.3,4.8,4.2,0.38,67700,152500,150000,17.2,15,20.8,84,78,95,238,500,,,12.5,22.5,,
NORWICH,3.75,29.26,10.98,35.19,50.45,44.69,40.9,79.31,3544,23,19.71,34.71,22437,24525,22427,23387,24649,23121,26639,27490,29399,32476,35762,3.6,3.8,4.2,3.9,3.6,4,5,7.6,6.7,6.7,4.8,0.4588,253100,429600,423000,23.3,20.2,23.2,1037,1056,301,557,866,982,1104,31.9,27.9,28.9,21.4
ORANGE,7.05,27.05,10.57,22.49,49.49,38.78,38.1,24.89,965,6.01,27.01,41.45,29366,33057,33775,35065,36817,41535,44717,44410,44215,50934,54667,2,1.8,1.7,2.2,2.6,2.9,2.8,4.7,4.1,4.2,3.6,0.4164,93200,147000,153000,21.9,22.1,21.2,386,376,206,388,538,639,619,27.9,19.3,44.5,40.2
ORWELL,10.3,27.26,11.9,26.41,48.99,47.38,38.9,25.01,1185,10.21,23.93,30.38,31303,31296,31034,29899,33338,34157,34063,34615,34545,35652,37472,3.5,3.4,2.9,2.8,2.9,3.1,3.4,4.5,4.1,4.1,3.6,0.5698,115800,196500,212500,20.2,22.4,24.5,354,391,209,488,594,448,517,28.2,26.8,18.8,21
PANTON,7.92,25.22,13.64,23.31,49.21,15.47,41.3,44.09,682,15.1,25.27,33.72,21605,22480,23548,22883,24448,25301,26307,26641,27662,28402,30379,7.6,7.4,6.3,5.5,6.1,7.4,8.7,13.6,13,11.8,11.4,0.527,124700,243200,242400,18.9,21.1,22.7,167,177,225,475,613,1156,1289,35.1,20,27.9,33.1
PAWLET,9.47,24.82,15.78,32.78,49.08,42.89,40.3,32.5,1394,10.4,24.94,35.87,33372,33345,37034,30873,32785,34436,31566,32498,33584,36430,37223,3.9,4.6,3.6,3.7,4.2,4.2,4.7,7.5,7.8,6.7,5.8,0.36,117300,194700,240800,21.4,25.8,23,490,482,197,456,534,688,698,26,24.8,20.2,28.3
PEACHAM,6.62,27.67,15.34,33.38,50.61,46.74,43,14.23,665,20.6,22.75,39.1,16106,20792,20570,21334,24716,25864,25984,25888,27890,27136,29075,2.7,3.4,2.7,2.5,3.2,3.2,4.1,7.7,6.7,5.2,5.4,0.477,122700,212900,252400,23.3,26.4,22.9,323,259,203,344,675,831,619,24.4,30,27.7,30.6
PERU,0.72,25.72,14.9,34.13,47.78,37.32,40.9,11.15,416,20.43,23.28,76.92,19285,18275,21219,20878,21290,21270,21306,22053,22852,24666,23864,7.5,6.3,4.9,5.3,4.2,5.7,6.8,9.7,9.6,9.7,8.6,0.1999,200000,259700,393200,13.2,23,26.3,93,117,185,492,667,942,1010,24.4,30,36.4,36.3
PITTSFIELD,4.22,19.91,15.46,41.45,49.64,20.05,41.3,21.29,427,19.67,21.2,39.81,18202,17511,20515,20924,21065,20974,21777,23147,25724,25691,26243,3.2,3.8,4.5,3.7,3.6,3.9,5.2,6.9,6.2,5.5,5.2,0.45,128100,285000,235500,18.9,26.5,26.9,160,168,281,475,625,780,850,25,22.5,45,18.5
PITTSFORD,8.98,23.18,13.15,35.29,49.53,43.49,40.1,72.2,3140,10.57,24.35,41.72,,,,,,,,,,,,2.1,2.1,2.1,4.1,9.3,8.9,9.9,9.5,7.3,4.9,3.7,0.3793,102300,159800,177900,21,21.2,21.4,1084,1035,239,438,552,693,850,24.4,24.7,28.6,31.9
PLAINFIELD,9.95,23.72,10.11,36.16,48.6,21.01,35.9,61.21,1286,13.69,21.47,68.43,30726,30422,31988,34948,34515,38348,38579,38792,36666,36582,35876,2.2,2.4,2.1,2.1,2.7,3.3,3.2,4.2,3.3,3.6,3.8,0.6753,101700,205100,203000,21.4,22.4,23.6,331,381,200,414,528,745,638,28.8,33.1,24.5,23.8
PLYMOUTH,5.41,18.02,19.64,43.78,46.23,48.18,46.6,11.52,555,15.5,22.53,54.05,24592,25689,26352,27820,28744,30750,31574,31875,33801,33604,31860,5.6,5.6,4.7,4.7,4.8,5.1,5.6,8.4,7.9,6.7,6.1,0.23,157500,301400,327600,19,27.3,27.2,185,222,231,658,875,,,19,33.8,50,
POMFRET,4.8,26.76,14.3,27.58,51.83,39.4,42.4,24.85,979,19.2,21.8,14.3,33255,34461,34001,34715,35498,36274,38289,39359,40018,40277,41947,2.2,2.4,2,2.4,3,3.1,3.4,5.2,4.4,3.8,3.4,0.4215,193800,346200,370100,24.4,22.8,23.8,297,358,261,378,700,836,1058,22.5,20.8,19.4,30
POULTNEY,7.98,21.11,15.99,34.02,51.45,43.92,35.9,82.71,3633,9.19,21.08,54.23,36687,,,,,,,,,33899,35194,37.5,38,37.2,29,7.3,7.4,5.7,5.9,7.5,5,6.7,0.5243,85600,157000,163000,22.1,21.5,23.2,869,892,198,413,479,669,769,29.9,27,30.1,32.5
POWNAL,9.38,25.39,11.12,28.57,48.78,46.65,38.5,76.31,3560,7.72,22.74,77.81,22722,23722,25495,24878,25318,25657,26969,27933,31237,32135,33742,4.9,5.8,4.9,3.9,2.7,3.8,4.3,8.8,7.5,6.6,6.8,0.5844,91000,162400,169900,20.8,18.3,20.7,1010,1121,233,438,534,687,670,31.2,27.9,26.8,25.6
PROCTOR,9.11,26.16,16.57,35.59,54,7.56,38.8,248.16,1877,10.76,22,57.54,31340,30377,30376,30039,33604,31873,32441,34570,35122,33953,35739,2.3,2.4,2,2.3,2.4,2.9,3.3,4.9,5,4.8,3.9,0.794,88900,148300,162300,19.9,23,23.3,584,605,234,453,564,672,731,26.7,26.9,30.9,33.2
PUTNEY,7.4,22.55,9.76,38.95,47.67,26.8,35.5,98.28,2634,13.63,20.59,23.16,,,,,,,,,,,,,,,,0,0,0,0,,NULL,NULL,0.5675,117200,227000,235800,19.6,21.6,22,628,673,220,480,592,750,731,24.6,22.8,28.7,24.2
RANDOLPH,7.09,23.28,13.89,33.03,47.68,47.86,35.9,101.4,4853,9.79,21.73,32.15,15587,14062,17704,22541,27506,27735,24887,27037,26488,28683,29628,3.6,4.3,3.2,3.2,3.3,4.2,5.4,6.7,8,6.4,4,0.6595,97500,169300,177100,21.9,23.1,22.3,1283,1285,208,382,453,723,758,25.2,20.9,28.9,28.7
READING,7.92,24.05,14.85,31.12,51.66,41.5,41.2,17.04,707,14.57,33.52,41.02,19541,19315,20449,21587,23711,24821,25594,28120,27630,27448,27943,3.1,3.1,3.1,3,4.6,4.5,5.6,7.9,7.8,8.8,7,0.319,127900,273700,270500,22.9,22.4,22.9,217,227,189,480,575,694,1567,21.3,27.5,30.7,33.5
READSBORO,6.71,24.72,17.27,39.01,50.06,36.37,41.2,22.13,805,10.43,33.22,74.53,25938,27311,27777,28122,28412,27509,32360,30612,31358,33597,32828,3.3,3.8,3.3,3.2,3.3,3.5,4.2,5.9,5.3,5.5,3.9,0.873,78600,144700,170300,16.9,22.6,22.7,241,256,170,339,340,586,617,24.3,25.9,33.3,29.8
RICHFORD,20.9,25.94,17.06,33.65,51.35,43.25,37.8,53.66,2321,2.54,29.94,116.33,20499,20742,20223,22211,23147,25707,27316,29288,29427,28276,30057,3.4,3.1,3.4,3.8,3.6,4.5,4,5.8,5.7,6.7,5.8,0.6657,59400,112000,128600,18.1,22.6,24.5,646,696,180,333,463,715,782,31.8,28.8,35.5,36
RICHMOND,5.09,29.27,6.77,30.39,50.7,31.84,37.1,128.44,4090,20.61,23.83,61.86,20730,21420,21889,23366,25578,25515,25860,26340,27071,28457,28794,6.7,8.2,7.2,5.7,7.6,7.7,8.4,11.3,10.7,9.7,8.2,0.5647,132000,231400,240000,18.2,22.1,21.9,1426,1314,243,526,643,936,948,22.2,26.1,29.6,29.4
RIPTON,16.55,26.08,8.27,32.19,45.87,49.52,38.5,11.23,556,20.86,25.48,55.76,21235,21822,21559,22105,,,,31410,34649,32189,34319,6.8,8.5,5.7,6.2,4.5,5.1,9.2,8.9,11.2,7.3,6.9,0.5905,113400,209400,238800,20.2,22.4,23.8,162,143,290,536,621,880,850,24.4,24.1,43.3,28.8
ROCHESTER,5.98,22.12,17.85,30.57,51.49,56.17,42.7,20.85,1171,16.74,22.78,66.61,19290,18136,17918,19335,24892,22926,27464,27993,30450,27563,28383,3.6,2.1,2.1,3.5,4,4,3.4,5.8,5.3,4.2,3.3,0.6295,98200,152300,181300,18.4,20.2,19.1,330,311,201,373,550,645,659,24.2,26.9,50,31.8
ROCKINGHAM,9.93,25.13,15.45,25.5,52.31,41.9,39.2,126.72,5309,9.93,18.19,1.88,18261,18846,17672,19559,20157,20174,20321,22088,22718,23763,22043,2.8,3,2.8,2.5,2.7,2.8,3,5.1,4.7,4,3.7,0.73,89800,160200,160500,23,22.1,25.2,1343,1440,218,447,488,700,744,27.9,24.1,28.6,34.8
ROXBURY,9.03,23.96,9.38,23.61,50.09,41.79,40.2,13.78,576,10.24,28.48,45.14,21686,22126,25540,27012,28582,25537,30389,33191,34773,32747,34882,3.9,3.6,3,3.3,3.5,3.5,4.4,7.3,7.7,6.6,6.3,0.6273,87500,144400,151900,19.6,24.1,27.6,219,189,198,325,625,1042,1138,30,40,18.9,22.8
ROYALTON,14.87,22.28,10.83,41.26,49.73,40.43,34.2,64.39,2603,17.98,25.93,73.38,24925,26810,28704,29601,30517,32129,33818,36053,37714,38562,39106,3.2,3.8,3.3,2.8,2.9,3.6,4.1,6.2,5.9,5.5,4.2,0.5921,98700,143300,165600,17.1,22.1,23.3,816,853,234,476,519,763,818,35.1,33.1,50,35.7
RUPERT,5.82,22.3,22.3,29.26,51.53,44.6,43.6,15.79,704,11.51,29.93,28.41,12970,13143,11371,11769,14511,16377,16814,18170,17489,17767,16673,5.1,5.6,4.9,3.8,2.7,2.7,2.7,5.3,5.2,3.7,3.9,0.3076,127700,255800,269200,24,24.1,25.1,419,338,124,486,625,917,1051,27.1,28.8,19.2,36.3
RUTLAND CITY,14.75,22.66,18.18,23.39,53.26,7.64,39.3,"2,264.01",17292,10.4,15.1,218.08,23161,23565,25361,25916,26822,27653,27473,30286,30949,30821,31776,2.1,2.7,2.3,2,1.9,2.6,2.7,4.9,4.6,3.5,2.8,1.3095,89100,149900,160500,20.1,23.3,24.8,3967,3847,225,440,501,666,750,28.2,28.8,28.5,29
RUTLAND TOWN,6.32,22.09,18.77,31.5,52.17,19.25,45.4,209.74,4038,13.52,16.73,115.16,15832,15266,18355,18770,19238,21137,21007,23679,24585,24406,30643,6.1,5.5,6,5.3,6.8,6.5,6.8,10.1,7.8,7.6,9,0.158,135700,202900,221400,19.7,20.5,21,1260,1364,248,505,534,714,715,29.3,25.3,27.8,28.6
RYEGATE,5.91,25.22,14.7,25.13,47.93,36.58,41.2,31.44,1150,10,26.62,35.65,26972,27791,27567,32003,27627,27776,28543,30214,32568,31915,31986,3.4,4.2,3.5,3.3,3.5,3.3,4.2,6.6,5.6,5.2,4.9,0.4717,83700,128600,143100,19.7,18.5,19.2,435,424,235,469,615,825,850,17.1,28.8,14.9,19
SALISBURY,7.52,25.6,12.39,31.01,49.19,29.15,38.7,37.39,1090,7.71,20.76,55.96,25586,27263,28316,29320,30569,31236,32011,33494,34778,35762,36552,5.6,5.9,4.4,3.6,3,3.5,4.1,9.2,7.9,7.5,6.7,0.2694,122200,184000,198200,22.1,17.8,21.5,342,376,204,502,613,848,875,18.6,23,28.9,44
SANDGATE,13.88,21.53,17.28,46.18,46.99,42.15,46.1,8.37,353,17,29.77,53.82,13000,14289,16448,18007,18791,19180,18542,19061,20185,23007,20536,8.4,9.1,8.1,7,3.4,4.3,5.6,9.3,8.6,7.1,6.7,0.4731,113800,208300,224300,21.1,19.6,24.3,110,143,225,388,617,938,639,35.1,50,21.1,18.9
SEARSBURG,20.83,27.08,9.38,64.58,40,21.53,41.8,4.46,96,0,14.38,125,,,,,,,,,,,,3.6,1.9,1.9,1.9,1.8,1.9,3.8,7.5,7.4,13.1,11.5,0.6158,86700,118300,157500,23.3,20.8,30.6,67,55,,425,625,,,25,17.5,,
SHAFTSBURY,6.66,25.78,13.11,23.92,51.15,43.1,40.4,87.41,3767,12.26,21.45,35.84,,,,,,,,,,,,,,,,0,0,0,0,,NULL,NULL,0.3235,117300,193400,220200,20.4,21,21.3,1312,1265,259,456,550,765,801,16.7,24,26,24.8
SHARON,7.3,27.78,7.94,37.21,49.54,39.62,37.5,35.62,1411,10.7,25.81,75.12,23098,23829,24884,26386,29807,29346,30810,34975,34719,34410,33175,4.8,4.5,5.1,4.2,3.9,4.2,4.4,8.6,8.1,7.1,6.8,0.8248,103600,201700,218400,20.2,23.2,24.6,455,481,272,516,631,943,1066,24.8,29.3,50,
SHEFFIELD,21.46,27.79,10.04,30.95,48.34,32.62,35.9,22.29,727,5.36,25.67,59.15,18978,20413,21307,22308,24943,24605,26020,26811,27233,28127,29733,6.8,6.1,4.4,4.3,5.4,6,6.4,11.7,10.1,8.3,9,0.7095,78600,108700,135900,21.7,27.3,26.1,197,183,219,413,531,611,546,32.5,28.1,35.9,24.5
SHELBURNE,4.9,27.65,15.38,35.57,52.14,24.31,40.9,285.65,6944,22.91,20.09,64.66,21134,21847,22757,23294,23760,24492,24792,24627,24573,25643,26481,5.6,6.4,5.8,4.1,3.4,3.8,5,9.2,8.8,9.3,7.9,0.3203,179700,328900,345100,18.2,20,22.1,2299,2166,324,664,1077,1701,1136,22.3,29.4,45.5,26.3
SHELDON,10.15,31.01,7.64,29.1,47.74,38.66,34.3,51.48,1990,4.12,26.46,85.93,23542,23409,26042,27434,29234,30415,31027,31377,33603,35728,35393,4.9,5.6,5,4.6,5,5.6,6,8.3,8.3,7,5.9,0.2963,97200,179300,179600,20.5,26,23.8,647,631,222,457,546,806,887,22.8,24.2,32.7,18.6
SHOREHAM,7.45,27.5,12.44,37.48,47.56,43.5,38.2,28.09,1222,9,25.03,35.19,20749,21415,20856,19871,20544,22907,24009,26653,25223,27482,28716,3.8,3.5,2.8,2.4,2.6,2.4,3.2,6.8,6.5,5.9,4.7,0.4605,112300,207100,238900,22.2,22.7,22.2,356,380,161,478,538,782,850,32.5,19.5,31.8,
SHREWSBURY,6.14,24.01,12.27,26.17,49.29,50.05,42.6,22.14,1108,14.62,24.11,41.52,25234,26659,27358,27976,29223,30287,30777,31989,33268,33311,33576,2.7,2.9,2.4,2.4,2.4,2.6,2.9,4.7,4.2,3.8,3.5,0.4367,127500,184100,209400,18.2,21.5,22,395,359,250,436,456,786,1007,26.7,21.7,29.1,27.3
SOMERSET,0,40,0,0,20,26.15,33.5,0.19,5,0,,600,,,,,,,,,,,,,,,,0,0,0,0,,NULL,NULL,0.57,,,,,,,3,3,,,,,,,,,
SOUTH BURLINGTON,4.15,22.95,13.89,39.2,51.4,16.64,36.2,894.01,14879,19.97,15.1,125.61,25068,25971,27266,28804,29219,29604,29806,30995,33196,36206,36241,3.8,4.5,3.9,3.4,3.7,3.8,4.4,7,5.9,4.7,4.7,0.3622,134700,243900,271500,20.4,24,23.6,5212,4982,337,664,822,1079,1123,23.7,27.8,33.7,30.3
SOUTH HERO,4.48,24.94,11.14,33.55,46.55,15.1,40.2,112.32,1696,17.16,27.54,61.32,,,,,,,,,,,,,,,,0,0,0,0,,NULL,NULL,0.2221,166800,323800,336600,20.3,23,24.1,558,567,259,495,703,888,1008,23.2,21.3,28.4,29.9
SPRINGFIELD,9.69,23.31,19.04,28.81,52.75,49.32,41.6,184.08,9078,8.37,17.91,164.46,27496,28647,29782,31230,33129,34389,36632,38297,40798,44028,43425,4.8,5,4,4.5,4.9,4.9,5.3,8.1,7.3,6,5.1,1.179,82300,147900,153900,19.5,23.8,23.7,2569,2770,207,418,469,697,777,27.2,24,30.9,30.4
ST. ALBANS CITY,9.58,25.56,14.03,24.93,52.77,2.03,35.2,"3,768.22",7650,9.86,18,175.95,17230,17288,18431,18186,19875,20790,21233,20941,22261,24227,23324,10.8,13.1,10.7,6.9,4.3,4.9,5.1,6.3,5.8,5.2,5.8,1.0341,96900,188800,197100,19.6,24.5,24.8,1540,1561,213,409,538,736,806,28.4,24.5,32.6,33.3
ST. ALBANS TOWN,5.32,25.77,13.5,35.27,45.44,37.56,37.9,141.75,5324,10.16,23.55,113.82,26052,26873,27669,28606,29279,30407,32209,32077,33441,33136,34840,3,3.5,2.8,2.6,2.8,3,3.5,5.2,4.2,3.8,3.5,0.3301,112100,215000,226700,21.3,25,22.4,1740,1745,256,494,586,961,1111,23.7,26.8,31.5,37.5
ST. GEORGE,8.88,29.94,6.73,30.8,48.36,3.59,33.8,194.46,698,11.32,17.03,90.26,46147,48796,49915,50408,51491,53191,54803,56367,57136,58217,55999,3.3,3.8,3,2.8,2.9,3,3.5,5.5,4.5,4.1,3.7,0.2848,105800,188900,210600,18.7,27.5,32.5,230,250,267,483,714,864,950,18.8,27.5,23.2,22.7
ST. JOHNSBURY,14,22.84,18.5,28.09,52.3,36.68,39.5,206.43,7571,9.3,17.54,54.29,31395,32221,33673,35261,36939,39282,39553,41158,42704,42954,43321,3.4,3.8,3,3.1,3.3,3.2,3.7,5.6,5,4.6,4.1,0.6718,81100,147100,150200,21.1,23.6,20.9,1630,1853,189,331,409,559,581,28,27.9,28.4,34.4
STAMFORD,3.81,25.46,12.92,25.09,49.08,39.52,41.2,20.57,813,8.61,28.84,87.33,16545,14832,15760,16620,17743,18196,21665,23085,23422,22371,23779,4.4,4.9,3.9,3.3,4.6,4.8,5.8,10.3,9.3,8.9,8.9,0.5325,115200,181400,203600,18,19.9,23,308,300,254,345,550,706,850,15.5,16.7,30.8,36.1
STANNARD,20,28.11,10.81,16.22,45.83,12.51,38.3,14.79,185,9.19,38.45,108.11,20910,22097,22698,22057,25432,29121,30642,30571,30190,28974,29919,4.1,4.4,4,4.2,4.7,4.5,5.3,6.9,7,7.6,6,0.8159,67000,91300,148400,14.4,37.5,21.1,74,65,,425,513,696,745,35.1,50.1,31.7,30.5
STARKSBORO,9.8,30.61,5.8,27.4,49.67,45.47,33.8,41.74,1898,13.96,32.11,27.92,16290,19455,18647,19909,20276,22774,23819,26787,27293,26769,26363,2.5,2.7,2.3,2.1,2.3,2.4,2.8,3.2,3,3.1,2.9,0.4346,103400,181500,207400,20.2,21.7,22.5,671,615,250,422,600,880,1024,35.1,21.9,26.1,27.3
STOCKBRIDGE,5.34,22.7,15.58,29.38,48.74,46.12,41.3,14.61,674,14.69,28.69,62.31,19099,20029,19412,22977,24012,23113,25745,27417,28540,28393,28701,5.3,5.4,4.5,4.3,4.4,5.4,5.8,8.4,8.1,6.5,6.3,0.527,100500,189400,202800,19,25.4,24.2,213,209,275,470,575,669,720,23.3,27.5,25.8,23.1
STOWE,6.75,21.06,13.53,49.39,45.85,72.68,41.4,59.7,4339,27.26,22.31,142.89,24664,26126,27508,27599,29487,31078,32597,36530,36326,36667,37365,3.7,4.3,3.5,3.5,3.6,3.6,4.4,7.1,6.7,5.8,5.4,0.3565,217600,416200,415300,23.2,29.2,29.8,1178,977,243,450,714,1096,1318,26.3,26.5,30.4,34
STRAFFORD,7.94,27.27,11.96,26.89,48.02,44.22,40.6,23.63,1045,16.56,28.29,21.05,23461,25310,26238,27655,29137,29070,29875,31143,33168,34007,34571,4.3,5.2,3.9,3.6,4.1,4.9,5.1,7.8,7.3,6.4,5.9,0.4888,152200,243000,272300,20.4,22.2,22.4,403,426,275,563,544,1033,962,35,16.5,25.7,35
STRATTON,5.15,21.32,17.65,25.74,39.29,46.39,42.5,2.93,136,25.74,14.78,316.18,20557,22672,23395,22214,23952,24796,24987,25745,25943,28121,30817,5.6,5.4,4.7,4.6,3.7,4.6,4.6,7.3,6.5,5.8,6.1,0.1909,125000,265900,264300,16.4,25.2,27.5,59,60,501,625,675,498,1375,22.5,37.5,14.6,30
SUDBURY,7.89,22.81,12.52,28.13,49.5,21.5,42,27.12,583,14.75,37.7,34.31,30991,31752,32703,35656,36903,35809,38880,41634,44736,45424,42370,4.8,4.6,4,3.8,4.3,4.3,4.2,6.2,5.1,5.1,4.4,0.5474,119300,195000,197900,24.3,20.7,19.9,254,181,231,425,556,1000,700,16.7,26.5,35.5,35
SUNDERLAND,9.65,23.41,18.24,27.29,50.4,45.4,41.8,18.72,850,13.18,17.88,56.47,33835,34925,36089,37740,38699,40240,42831,45702,48521,48488,49888,3.7,4.2,3.5,3.1,2.9,3.1,3.5,6,5.2,0,4,0.2136,113600,228200,253500,21.4,23.5,25.1,352,355,228,450,675,992,726,35.1,25,14.7,14.9
SUTTON,12.99,29.77,11.59,23.38,47.87,38.26,36.9,26.16,1001,6.29,24.39,42.96,25789,27093,48820,109928,35864,40948,40619,37725,38989,35214,41429,2,2.2,2.1,2,2,2.1,2.3,3.7,3.7,3.1,2.5,0.4332,80200,112500,122800,21.1,23.4,25.4,276,349,227,387,594,636,646,35.1,31.9,25.5,34
SWANTON,9.19,27.66,12.49,31.03,49.85,48.41,36.5,128.14,6203,5.67,24.54,56.26,19935,20340,21000,21816,22726,24921,23332,25106,22267,21666,22713,6.9,8,7.7,7,7.3,8.2,9.3,13.1,13.6,16.1,11.9,0.2448,99500,193400,198800,19.9,23.5,22.7,1813,1868,236,425,511,810,836,25.1,23.3,29.2,28.8
THETFORD,5.73,26.9,10.32,32.37,48.73,43.56,38.9,60.08,2617,16.55,24,50.06,23858,25386,24788,25540,26995,27396,35619,32072,36816,32424,32292,4.5,4.6,4.3,3.2,3.5,3.6,4.3,7.1,6.1,6.2,5.7,0.5136,139600,255900,243300,20,21.9,21.7,886,858,256,518,604,930,952,22.6,25.3,36.8,36.8
TINMOUTH,10.76,22.05,13.05,25.75,48.74,28.28,40.1,20.05,567,10.23,28.36,31.75,22061,22874,23752,24424,26213,24982,27409,28001,27451,29329,29641,3,4.7,3.3,2.9,2.9,3.8,3.8,6.2,4.8,4.6,4.9,0.4884,99700,192700,214700,25,21.2,22.5,194,231,175,430,635,,830,12,30.4,36,36.5
TOPSHAM,12.61,27.58,10.16,30.82,49.74,48.93,36.5,23.34,1142,7.18,31.37,49.04,,17039,17229,18778,18570,18354,18802,20751,21396,20946,19761,1.9,1.9,1.9,7.1,11.6,10.1,14.6,13.8,8.9,3.7,3.8,0.6094,79700,119100,143800,17.9,20.5,25,421,458,115,473,588,670,1438,24.6,25,41.4,34.3
TOWNSHEND,8.53,23.76,16.45,36.29,53.44,42.72,41.9,26.9,1149,10.53,23.72,43.52,32337,33634,33579,35389,37076,39140,39800,41894,43805,45480,44707,3.8,4.3,3.7,3.3,3.1,3.3,4.1,6.6,5.9,4.8,4.6,0.5263,120400,208600,225800,22.1,25.9,23.5,401,460,242,465,569,540,710,20.3,28.1,40.8,33.8
TROY,10.93,25.83,12.66,32.86,47.5,36.05,37,43.38,1564,3.32,26.1,44.12,23987,23688,24956,25953,27123,28379,28412,28463,30250,30520,30994,4.1,4.8,4.3,4.2,4.3,4.6,5.4,8.7,7.6,7.6,7,0.4286,75900,135500,129500,20.6,23.3,25,541,498,183,319,467,717,667,31.3,25.3,28.2,31.7
TUNBRIDGE,12.07,25.36,13.22,26.81,49.29,44.73,38.2,29.26,1309,12.53,26.88,33.61,19695,19909,21970,22976,24441,27041,28492,30666,32727,32421,34359,3.3,3.6,3,3.1,3.1,3.3,3.8,6.4,5.9,5.3,4.4,0.455,112100,207400,187500,13.3,22.4,22.4,416,438,208,494,509,1036,860,35.1,30.3,37.3,37
