namecode,town,mun_tax_rate2002,mun_tax_rate2003,mun_tax_rate2004,mun_tax_rate2005,mun_tax_rate2006,mun_tax_rate2007,mun_tax_rate2008,mun_tax_rate2009,mun_tax_rate2010,mun_tax_rate2011,med_val_owner_occ2000,med_val_owner_occ20052009,med_val_owner_occ20072011,med_month_own_cost_percent_hh_income1999,med_month_own_cost_percent_hh_income20052009,owner_occ_homes20052009,med_month_own_cost_percent_hh_income20072011,owner_occ_homes20072011
21050,Mendon,0.46,0.48,0.49,0.5025,0.3161,0.3254,0.3477,0.4189,0.4237,0.4292,149500,258800,290900,19.4,21.4,370,23.4,348
21055,Middletown Springs,0.507,0.589,0.607,0.5,0.52,0.49,0.49,0.61,0.6525,0.594,117600,201200,206100,20,21.3,299,22.7,257
21060,Mount Holly,0.3916,0.392,0.328,0.35,0.368,0.392,0.385,0.4,0.414,0.295,105600,171800,172700,21.3,26.5,506,24.1,413
21065,Mount Tabor,0.23,0.24,,,0.42,0.26,0.15,0.05,0.05,0.05,90000,190600,185400,19.5,24.7,77,21.8,63
21070,Pawlet,0.47,0.41,0.44,0.31,0.38,0.4,0.26,0.3,0.345,0.36,117300,194700,240800,21.4,25.8,490,23,482
21075,Pittsfield,0.383,0.39,0.51,0.48,0.52,0.3172,0.46,0.372,0.4211,0.45,128100,285000,235500,18.9,26.5,160,26.9,168
21080,Pittsford,0.48,0.458,0.462,0.5566,0.5675,0.4203,0.4319,0.5597,0.4351,0.3793,102300,159800,177900,21,21.2,1084,21.4,1035
21085,Poultney,0.5587,0.5893,0.6184,0.5103,0.4193,0.46,0.4999,0.5146,0.5221,0.5243,85600,157000,163000,22.1,21.5,869,23.2,892
21090,Proctor,0.9688,1.0225,1.0308,0.9388,1.0935,1.0182,0.9669,0.8906,0.9379,0.794,88900,148300,162300,19.9,23,584,23.3,605
21095,Rutland City,1.33,1.374,1.402,1.4175,1.4563,1.1372,1.2591,1.2836,1.2634,1.3095,89100,149900,160500,20.1,23.3,3967,24.8,3847
21100,Rutland Town,0.376,0.2976,0.2957,0.2925,0.3417,0.3555,0.3712,0.3742,0.2502,0.158,135700,202900,221400,19.7,20.5,1260,21,1364
21110,Shrewsbury,0.3677,0.5605,0.5525,0.4798,0.5568,0.5643,0.6022,0.6322,0.6779,0.4367,127500,184100,209400,18.2,21.5,395,22,359
21115,Sudbury,0.27,0.45,0.38,0.4992,0.542,0.5653,0.5592,0.572,0.4958,0.5474,119300,195000,197900,24.3,20.7,254,19.9,181
21120,Tinmouth,0.61,0.58,0.61,0.6423,0.7177,0.8186,1.2487,0.95,0.5352,0.4884,99700,192700,214700,25,21.2,194,22.5,231
21125,Wallingford,0.3661,0.3606,0.3637,0.3774,0.3317,0.3951,0.2718,0.2495,0.2271,0.2127,104900,194600,203600,20.8,23.7,729,25.1,844
21130,Wells,0.4933,0.3902,0.5168,0.4932,0.2802,0.2506,0.25,0.2683,0.2966,0.3067,94300,172900,172900,19.6,19,415,19.8,448
21135,West Haven,0.69,0.75,0.8,0.99,1.04,1.04,0.77,0.76,0.8,0.8545,108300,161300,169200,19.2,23.8,81,20.4,96
21140,West Rutland,0.8571,0.8393,0.8706,0.8705,0.9415,1.1074,1.1149,0.6787,0.6683,0.6598,88600,144300,160600,19.8,25.5,692,25.8,752
23005,Barre City,1.536,1.51,1.51,1.5935,1.6267,1.2483,1.3142,1.4055,1.4577,1.4725,87900,141000,144000,21.1,22.9,2093,26.6,1994
23010,Barre Town,1.05,1.03,1.08,0.7264,0.776,0.8225,0.8319,0.8291,0.8473,0.8502,101200,174100,190200,19.1,22.2,2824,22.3,2869
23015,Berlin,0.44,0.74,0.53,0.5594,0.58,0.6264,0.6348,0.3924,0.3897,0.4271,95000,167400,191900,19,21.8,844,23.3,1006
23020,Cabot,0.64,0.7,0.75,0.6754,0.7044,0.4083,0.5012,0.5925,0.616,0.4806,97200,183600,177500,19.2,24.4,518,26,527
23025,Calais,0.59,0.59,0.62,0.66,0.68,0.74,0.44,0.478,0.4485,0.4906,121300,203700,246900,20.5,23.1,540,24.4,587
23030,Duxbury,0.7,0.505,0.52,0.5,0.4943,0.3725,0.3445,0.3629,0.2684,0.3177,110000,215000,218500,21.5,20.7,496,19.2,504
23035,East Montpelier,0.65,0.63,0.57,0.7294,0.693,1.0128,0.8046,0.7275,0.4419,0.503,121800,211400,227200,18,18.3,845,19.9,900
23040,Fayston,0.35,0.38,0.4,0.23,0.22,0.21,0.225,0.28,0.2651,0.1895,149800,299000,319300,19.8,26,408,25.3,400
23045,Marshfield,0.71,0.73,0.61,0.6,0.56,0.47,0.494,0.576,0.592,0.632,92100,179200,188000,17.1,19,598,21.2,630
23050,Middlesex,0.46,0.54,0.52,0.4,0.43,0.45,0.46,0.48,0.51,0.41,116600,229800,239200,18.9,21.7,680,20.1,668
23055,Montpelier,1.31,1.43,1.22,1.24,1.27,1.34,1.3829,1.4727,1.5256,1.0074,108000,197800,202500,20.3,20.6,2085,22.6,2161
23060,Moretown,0.12,0.32,0.3,0.07,0.3003,0.2996,0.2198,0.2654,0.3625,0.3176,120900,216600,264200,19.5,19.9,497,20,514
23065,Northfield,1.0322,1.25,1.25,0.82,0.7343,0.7537,0.8031,0.7826,0.9584,1.0115,97400,165200,179500,21.8,21.6,1147,22.1,1328
23070,Plainfield,1.02,0.81,0.85,0.78,0.725,0.7536,0.8588,0.9385,0.6803,0.6753,101700,205100,203000,21.4,22.4,331,23.6,381
23075,Roxbury,0.8683,0.8477,0.5035,0.6571,0.6619,0.7744,0.8182,0.8425,0.8809,0.6273,87500,144400,151900,19.6,24.1,219,27.6,189
23080,Waitsfield,0.499,0.51,0.53,0.55,0.54,0.29,0.305,0.285,0.325,0.294,157800,350600,365500,22.2,24.8,565,26.7,578
23085,Warren,0.38,0.37,0.46,0.44,0.43,0.39,0.41,0.2429,0.257,0.2647,151300,230800,275700,22.5,22.9,548,22,523
23090,Waterbury,0.41,0.3954,0.4,0.39,0.41,0.44,0.44,0.2916,0.3204,0.32,130700,260200,272800,18.6,25.1,1432,24.7,1481
23095,Woodbury,0.46,0.53,0.56,0.5955,0.7009,0.6099,0.36,0.41,0.3509,0.3396,87700,190600,179000,20.5,24.3,350,23.3,380
23100,Worcester,0.743,0.81,0.745,0.5652,0.5434,0.575,0.44,0.4953,0.4912,0.4636,100200,194200,209100,20.3,19.6,339,20.8,388
25005,Athens,0.74,0.88,1.01,0.94,1.05,1.14,1.88,1.6,1.61,0.87,102500,124600,142200,13.3,22.7,121,22.1,119
25010,Brattleboro,1.16,1.22,1.22,1.24,0.9519,0.9814,0.9936,1.0414,1.0821,1.0941,106000,188500,203500,18.8,24.1,2880,25.9,3122
25015,Brookline,0.18,0.23,0.27,0.2686,0.2737,0.5123,0.284,0.2953,0.31,0.3028,105600,172700,192400,22.5,25.7,173,25.8,196
25020,Dover,0.3508,0.3927,0.4064,0.2902,0.2545,0.2557,0.2687,0.3255,0.3674,0.3063,143300,259800,275900,21.9,26,469,27.8,530
25025,Dummerston,0.36,0.297,0.34,0.3736,0.36,0.2033,0.1872,0.2926,0.2812,0.2638,129700,226300,236500,19,18.7,612,23.1,675
25030,Grafton,0.79,0.87,0.75,0.49,0.52,0.52,0.5754,0.6888,0.5575,0.5481,106500,218800,228000,18.7,23.7,195,25,216
25035,Guilford,0.7566,0.65,0.68,0.7416,0.379,0.4201,0.4251,0.4904,0.5708,0.6594,127300,207000,199500,20.3,21,651,22.1,655
25040,Halifax,0.67,0.608,0.522,0.6613,0.9216,0.4889,0.5545,0.5602,0.5615,0.5685,98800,161200,166100,23.9,24.7,334,24.1,323
25045,Jamaica,0.437,0.4765,0.5047,0.486,0.542,0.5661,0.579,0.2753,0.2902,0.3043,123600,243600,246000,26.1,23.6,329,27,326
25050,Londonderry,0.265,0.242,0.291,0.3,0.323,0.3162,0.2766,0.2073,0.2306,0.251,133800,223100,228500,20.6,25.4,619,24.2,605
25055,Marlboro,0.46,0.25,0.55,0.55,0.32,0.28,0.37,0.34,0.3403,0.3103,150000,257100,266100,18.7,22.7,296,26.1,302
25060,Newfane,0.6,0.46,0.47,0.5062,0.5109,0.5137,0.3578,0.4323,0.4035,0.4118,123600,196900,207000,21.7,22.1,636,23,638
25065,Putney,0.658,0.7198,0.7176,0.8275,0.85,0.49,0.5042,0.5416,0.5666,0.5675,117200,227000,235800,19.6,21.6,628,22,673
25070,Rockingham,0.88,0.89,0.94,0.95,0.95,0.6515,0.6823,0.6823,0.6823,0.73,89800,160200,160500,23,22.1,1343,25.2,1440
25073,Somerset,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.64,0.57,,,,,,3,,3
25075,Stratton,0.1762,0.1849,0.1756,0.1214,0.1013,0.0668,0.0505,0.0673,0.0894,0.1909,125000,265900,264300,16.4,25.2,59,27.5,60
25080,Townshend,0.56,0.654,0.609,0.69,0.6,0.78,0.494,0.3602,0.4604,0.5263,120400,208600,225800,22.1,25.9,401,23.5,460
25085,Vernon,0.5,0.4008,0.5212,0.5928,0.6805,0.4579,0.4768,0.4067,0.3663,0.446,130000,196700,204100,18.3,21.1,700,19.7,665
25090,Wardsboro,0.69,0.58,0.63,0.555,0.4736,0.553,0.5125,0.3888,0.453,0.4138,103000,218300,205400,24.2,19.6,296,30.3,257
25095,Westminster,0.85,0.77,0.69,0.7008,0.7229,0.5916,0.6101,0.6288,0.6208,0.6071,98100,172700,169300,19.3,23.3,1022,23.4,1092
25100,Whitingham,0.493,0.59,0.79,0.61,0.615,0.615,0.64,0.675,0.685,0.5321,111200,205200,214300,20.9,23,451,26,460
25105,Wilmington,0.9415,1.106,0.6332,0.844,0.8303,0.8337,0.7533,0.7398,0.4224,0.4413,120100,227400,233300,21.1,23.7,538,24.6,710
25110,Windham,0.6655,0.6995,0.6708,1.0531,0.6668,0.4523,0.5087,0.5419,0.6235,0.6266,125000,202700,206000,23.1,24.7,193,31.3,187
27005,Andover,0.54,0.48,0.49,0.5,0.5,0.48,0.5,0.53,0.33,0.32,161200,243800,263500,21.1,22,163,24.9,165
27011,Baltimore,0.54,0.44,0.71,1.0865,1.1376,1.2019,0.2513,0.4877,0.4759,0.4269,100000,160700,160900,19.5,23.6,94,24.8,75
27015,Barnard,0.4,0.3,0.31,0.3865,0.355,0.3317,0.2367,0.27,0.31,0.25,151200,336700,340200,18.5,22.4,368,19.8,350
27020,Bethel,0.66,0.69,0.69,0.75,0.73,1.11,0.52,0.56,0.56,0.69,94300,181600,191600,21.3,22.2,869,24.5,823
27025,Bridgewater,0.4741,0.4663,0.5701,0.5493,0.5491,0.522,0.3378,0.3477,0.3434,0.3549,108000,248700,237500,19.1,24.1,189,21.8,207
27030,Cavendish,0.5994,0.5811,0.6492,0.6317,0.5867,0.3296,0.3264,0.3397,0.3437,0.3277,91900,188100,181500,19.6,21,381,21.5,441
27035,Chester,0.9,0.82,0.82,0.94,0.955,1.0166,1.0343,0.5963,0.6164,0.6079,106800,171800,188000,19.6,26.5,1078,24.4,1031
27040,Hartford,0.907,0.903,0.92,0.92,0.9337,0.9923,0.6459,0.6788,0.7054,0.7231,115200,222500,214400,21.4,22.9,3143,23.6,2851
27045,Hartland,0.51,0.4,0.41,0.41,0.43,0.33,0.3374,0.35,0.36,0.36,130300,261700,275300,19.4,23.2,1154,20.2,1161
27050,Ludlow,0.37,0.42,0.43,0.3688,0.215,0.2,0.2075,0.2,0.2311,0.2297,120600,243800,248900,18.9,26.3,860,21.9,651
27055,Norwich,0.532,0.582,0.592,0.4077,0.4533,0.479,0.4728,0.481,0.4658,0.4588,253100,429600,423000,23.3,20.2,1037,23.2,1056
27060,Plymouth,0.23,0.27,0.283,0.28,0.36,0.34,0.34,0.2065,0.19,0.23,157500,301400,327600,19,27.3,185,27.2,222
27065,Pomfret,0.382,0.401,0.488,0.4186,0.4,0.4586,0.5713,0.6173,0.3768,0.4215,193800,346200,370100,24.4,22.8,297,23.8,358
27070,Reading,0.5,0.51,0.4,0.3267,0.2979,0.3185,0.3906,0.3551,0.3162,0.319,127900,273700,270500,22.9,22.4,217,22.9,227
27075,Rochester,0.632,0.5955,0.5649,0.5209,0.575,0.5873,0.6,0.625,0.633,0.6295,98200,152300,181300,18.4,20.2,330,19.1,311
27080,Royalton,0.5181,0.5221,0.6488,0.7444,0.755,0.818,0.8409,0.8558,0.5035,0.5921,98700,143300,165600,17.1,22.1,816,23.3,853
27085,Sharon,0.6564,0.7108,0.551,0.55,0.5854,0.6076,0.6293,0.6302,0.689,0.8248,103600,201700,218400,20.2,23.2,455,24.6,481
27090,Springfield,1.464,1.531,1.575,1.6061,1.7862,1.785,1.0946,1.1437,1.175,1.179,82300,147900,153900,19.5,23.8,2569,23.7,2770
27095,Stockbridge,0.61,0.62,0.67,0.675,0.712,0.417,0.47,0.5,0.5,0.527,100500,189400,202800,19,25.4,213,24.2,209
27100,Weathersfield,0.63,0.685,0.75,0.888,0.89,0.9498,0.9557,0.579,0.5769,0.6167,94300,171200,185300,20.6,21.3,1111,22.8,1065
27105,Weston,0.3581,0.3878,0.3439,0.3753,0.3325,0.2828,0.3061,0.3653,0.3148,0.4188,170200,324400,294600,17.7,20.1,207,22.1,220
27110,West Windsor,0.38,0.41,0.37,0.4,0.48,0.18,0.22,0.22,0.24,0.25,173700,331000,344900,19.7,22.1,376,22.6,427
27115,Windsor,1.232,1.351,1.341,1.3683,1.3937,1.4443,1.5044,1.6844,1.109,1.1087,86400,147100,167900,19.6,21.7,803,26.2,799
27120,Woodstock,0.5,0.41,0.38,0.385,0.4,0.3,0.3,0.3213,0.3213,0.33,190400,370400,361000,20.4,23.5,1008,23.8,1061
