namecode,town,mun_tax_rate2002,mun_tax_rate2003,mun_tax_rate2004,mun_tax_rate2005,mun_tax_rate2006,mun_tax_rate2007,mun_tax_rate2008,mun_tax_rate2009,mun_tax_rate2010,mun_tax_rate2011,med_val_owner_occ2000,med_val_owner_occ20052009,med_val_owner_occ20072011,med_month_own_cost_percent_hh_income1999,med_month_own_cost_percent_hh_income20052009,owner_occ_homes20052009,med_month_own_cost_percent_hh_income20072011,owner_occ_homes20072011
9020,Brighton,1.025,1.065,0.7,0.746,0.852,0.8252,0.8568,0.8146,0.5013,0.5329,64600,122900,128500,18.8,19.3,343,22.3,351
9025,Brunswick,0.2254,0.2357,0.2386,0.24,0.28,0.28,0.28,0.28,0.28,0.27,71900,161500,164800,13.5,18.1,45,22.3,59
9030,Canaan,0.6008,0.6223,0.7367,0.7376,0.9563,0.9722,1.0182,0.6989,0.6236,0.682,79100,108700,109500,18.4,20.6,352,22.7,362
9035,Concord,0.4723,0.418,0.508,0.6298,0.7233,0.4686,0.5185,0.4984,0.4906,0.479,71900,115400,132700,18.3,21.5,490,21.6,458
9040,East Haven,0.8,0.9,0.555,0.593,0.645,0.8855,1.0636,1.0457,1.0978,0.6065,58400,96400,98700,17.1,21.4,100,22.3,120
9045,Ferdinand,0.0701,0.1166,0.157,0.1736,0.05,0.13,0.05,0.05,0.05,0.05,55000,117500,116700,16.3,,7,20,12
9050,Granby,0.2626,0.2554,0.3839,0.3001,0.2299,0.484,0.3204,0.6163,0.5178,0.2532,76700,97500,87300,9.9,14.2,37,20.6,40
9055,Guildhall,0.93,1.01,0.86,0.8503,0.5675,0.7023,0.729,0.4149,0.4278,0.3973,90000,151100,168200,20.6,18.2,106,24.4,114
9060,Lemington,0.44,0.3173,0.5704,0.3502,0.3119,0.3613,0.4088,0.4866,0.6091,0.276,92200,114100,117500,16.4,17.9,37,16.8,39
9065,Lewis,0.0701,0.1166,0.157,0.2603,0.1136,0.3706,0.05,0.05,0.05,0.05,,,,,,0,,0
9070,Lunenburg,0.8,0.902,0.938,0.6617,0.5167,0.707,0.6559,0.7077,0.62,0.7006,65100,115900,111300,18.9,22.5,467,26.7,483
9075,Maidstone,0.2453,0.3508,0.235,0.2132,0.227,0.24,0.29,0.2735,0.213,0.2171,85000,189300,220000,39.2,15.7,56,19.5,68
9080,Norton,0.26,0.3,0.3,0.25,0.24,0.39,0.42,0.43,0.1,0.38,67700,152500,150000,17.2,15,84,20.8,78
9085,Victory,0.692,0.5,0.18,0.18,0,0.24,0.4674,0.3646,0.101,0.1812,59300,62500,99200,16.7,23.1,43,20.3,59
9090,Warner's Grant,0.0701,0.1166,0.157,0.5113,0.3258,0.3834,0.05,0.05,0.05,0.05,,,,,,0,,0
9095,Warren's Gore,0.0701,0.1166,0.157,0.7264,0.2692,0.5162,0.1404,0.05,0.0756,0.0826,,,179200,,,0,10.8,5
11010,Bakersfield,0.4467,0.3786,0.3821,0.4207,0.3597,0.4272,0.4711,0.4792,0.3392,0.3556,97900,172700,204600,21.7,23.5,387,23.5,447
11015,Berkshire,0.52,0.54,0.6,0.6,0.5982,0.6918,0.6537,0.3765,0.4638,0.4264,93300,153800,181000,18.7,20.6,398,21.1,446
