town,avg_commute1980,avg_commute1990,avg_commute_2000
STOCKBRIDGE,17.11068702,22.17491749,28.69186047
STARKSBORO,26.35443038,30.11715481,32.11297071
STAMFORD,25.49235474,22.72606383,28.83507853
STRATTON,27.04166667,8.128571429,14.77941176
ST. GEORGE,23.33240997,17.44611529,17.03125
ST. ALBANS TOWN,13.38410596,19.25487329,23.5527925
ST. ALBANS CITY,15.6929107,17.83512105,18.00297056
SPRINGFIELD,11.42601405,14.54025,17.90883123
SHELDON,14.83034258,19.93801653,26.46368715
SANDGATE,22.83168317,30.46153846,29.76744186
SEARSBURG,16.66666667,15.20833333,14.375
STANNARD,34.09090909,26.66666667,38.45
SHARON,22.02666667,24.09049774,25.80892608
SHELBURNE,16.99467377,18.13055273,20.09393286
SHAFTSBURY,16.81742424,17.08704062,21.45087001
SHOREHAM,19.01173709,19.13899614,25.02529511
SHREWSBURY,19.16161616,22.44664032,24.11089866
SOMERSET,,,
SOUTH BURLINGTON,13.9996254,13.83069091,15.09677822
SOUTH HERO,24.86895161,23.89442815,27.5404157
SHEFFIELD,29.27659574,22.46268657,25.67213115
